County of Vaccine Provider,Number of Doses
Polk,828538
Linn,391990
Johnson,285912
Scott,264429
Black Hawk,213185
Dubuque,182433
Story,158764
Dallas,152108
Woodbury,143177
Pottawattamie,143028
Cerro Gordo,79748
Des Moines,57076
Clinton,56381
Webster,54315
Warren,53525
Muscatine,52689
Marshall,50557
Jasper,42780
Marion,42425
Bremer,40963
Lee,40793
Wapello,38800
Sioux,33610
Carroll,32860
Boone,32622
Winneshiek,31356
Buena Vista,29992
Fayette,29985
Poweshiek,28401
Cass,28376
Washington,26217
Henry,25614
Plymouth,25295
Clay,24943
Jackson,24911
Tama,23833
Jefferson,23778
Dickinson,23756
Mahaska,23524
Benton,22732
Page,22664
Floyd,21372
Jones,21227
Crawford,21009
Hardin,20640
Hamilton,20232
Buchanan,19309
Madison,19055
Cedar,18182
Kossuth,17699
Mills,17398
Shelby,17375
Wright,17146
Clayton,16752
Iowa,16711
O'Brien,16450
Delaware,16446
Allamakee,16392
Union,16079
Grundy,15085
Cherokee,14812
Clarke,14487
Appanoose,14072
Emmet,13954
Guthrie,13729
Mitchell,13395
Winnebago,13156
Greene,13040
Out of State,11844
Humboldt,11799
Montgomery,11773
Calhoun,11339
Davis,11306
Louisa,11074
Franklin,10529
Lucas,10334
Palo Alto,10116
Butler,10106
Harrison,10065
Monroe,9490
Lyon,9342
Hancock,9237
Sac,8834
Chickasaw,8525
Wayne,8486
Decatur,8191
Howard,7798
Adair,6864
Monona,6709
Ringgold,6653
Taylor,6295
Pocahontas,5712
Ida,5207
Audubon,5111
Worth,4997
Adams,4950
Keokuk,4650
Fremont,4641
Osceola,4533
Van Buren,4238
