County,Vaccinations Completed
Polk,288796
Linn,134242
Johnson,95538
Scott,83149
Black Hawk,71271
Dubuque,55877
Story,55449
Dallas,54760
Woodbury,48548
Pottawattamie,43770
Warren,27385
Cerro Gordo,24135
Muscatine,23021
Marshall,22902
Clinton,22059
Jasper,19714
Webster,18506
Des Moines,17871
Marion,15955
Wapello,15681
Boone,15289
Lee,14955
Bremer,13686
Benton,13398
Sioux,13285
Buena Vista,12029
Plymouth,12021
Winneshiek,11345
Carroll,11269
Washington,11244
Jones,11128
Buchanan,10470
Cedar,10108
Fayette,9842
Poweshiek,9842
Henry,9802
Jackson,9474
Tama,9335
Iowa,9297
Dickinson,9086
Mahaska,8778
Hardin,8558
Delaware,8449
Hamilton,8399
Crawford,8131
Jefferson,7986
Madison,7974
Clay,7748
Butler,7737
Floyd,7641
Clayton,7583
Page,7201
Kossuth,7132
Grundy,6986
Cass,6787
Mills,6729
Wright,6579
O'Brien,6416
Shelby,6121
Allamakee,6115
Harrison,6102
Chickasaw,5972
Guthrie,5728
Union,5684
Cherokee,5524
Calhoun,5293
Appanoose,5258
Louisa,5228
Montgomery,4989
Winnebago,4959
Franklin,4951
Hancock,4843
Mitchell,4816
Sac,4740
Greene,4729
Clarke,4608
Humboldt,4359
Keokuk,4314
Howard,4284
Emmet,4283
Monona,4122
Palo Alto,4114
Lyon,3871
Lucas,3597
Worth,3529
Adair,3265
Pocahontas,3250
Monroe,3250
Ida,3107
Audubon,2979
Davis,2974
Decatur,2864
Fremont,2817
Van Buren,2717
Taylor,2584
Osceola,2472
Wayne,2464
Ringgold,2341
Adams,1756
.,47
