County of Vaccine Provider,Number of Doses
Polk,606804
Linn,283492
Johnson,203610
Scott,194030
Black Hawk,162593
Dubuque,135242
Story,114739
Pottawattamie,110196
Woodbury,109866
Dallas,103965
Cerro Gordo,60133
Des Moines,43698
Webster,41469
Clinton,41133
Warren,39262
Muscatine,38223
Marshall,36619
Jasper,32329
Marion,32101
Lee,30946
Wapello,29830
Bremer,29769
Sioux,26352
Boone,25362
Carroll,23568
Fayette,23174
Buena Vista,22994
Cass,22767
Poweshiek,20788
Winneshiek,20369
Plymouth,19440
Henry,19252
Tama,19023
Clay,18940
Jackson,18226
Jefferson,18130
Mahaska,17901
Dickinson,17613
Washington,17561
Benton,17203
Page,16609
Crawford,16028
Hamilton,15773
Floyd,15659
Hardin,15281
Madison,15234
Jones,14880
Buchanan,14846
Mills,13797
Cedar,13738
Kossuth,13609
Clayton,13466
Shelby,12985
Iowa,12971
Wright,12775
Allamakee,12723
O'Brien,12275
Delaware,11721
Union,11655
Clarke,11159
Emmet,11030
Cherokee,10999
Grundy,10906
Out of State,10711
Appanoose,10400
Greene,10293
Mitchell,9988
Guthrie,9857
Winnebago,9483
Humboldt,9319
Davis,8927
Calhoun,8874
Louisa,8605
Montgomery,8419
Butler,8095
Franklin,8029
Lucas,8009
Harrison,7734
Palo Alto,7583
Monroe,7363
Hancock,7296
Sac,6949
Wayne,6862
Lyon,6727
Decatur,6492
Chickasaw,6383
Howard,5382
Adair,5090
Monona,5009
Taylor,4867
Ringgold,4722
Audubon,4379
Pocahontas,4359
Ida,4084
Adams,3794
Worth,3748
Fremont,3557
Keokuk,3517
Osceola,3436
Van Buren,3223
