County of Vaccine Provider,Vaccinations Completed
Polk,299761
Linn,143153
Johnson,100831
Scott,95903
Black Hawk,81944
Dubuque,67209
Story,57668
Woodbury,55205
Pottawattamie,54705
Dallas,52330
Cerro Gordo,30081
Des Moines,21290
Muscatine,21120
Webster,20656
Clinton,20597
Warren,19647
Marshall,19426
Marion,17660
Jasper,16491
Lee,15945
Bremer,15265
Wapello,14940
Sioux,14212
Buena Vista,13061
Boone,12756
Carroll,12084
Fayette,11810
Cass,11255
Plymouth,10956
Henry,10439
Winneshiek,10385
Poweshiek,10376
Tama,9684
Clay,9310
Jefferson,9262
Jackson,9123
Mahaska,8959
Washington,8817
Benton,8655
Crawford,8594
Dickinson,8593
Page,8376
Floyd,8311
Hardin,8120
Hamilton,7879
Jones,7782
Madison,7546
Buchanan,7460
Wright,7241
Clayton,6941
Cedar,6899
Kossuth,6897
Iowa,6724
Mills,6717
Shelby,6451
Allamakee,6243
O'Brien,6224
Delaware,6152
Clarke,6117
Union,5851
Grundy,5551
Cherokee,5547
Emmet,5405
Out of State,5367
Greene,5259
Appanoose,5235
Davis,5206
Louisa,5076
Mitchell,5021
Guthrie,4996
Winnebago,4876
Humboldt,4684
Calhoun,4499
Montgomery,4320
Lucas,4099
Butler,4088
Franklin,4074
Hancock,3982
Harrison,3860
Palo Alto,3793
Monroe,3792
Wayne,3503
Sac,3459
Lyon,3368
Chickasaw,3344
Decatur,3177
Howard,2765
Adair,2697
Monona,2595
Taylor,2396
Ringgold,2302
Ida,2253
Pocahontas,2236
Audubon,2226
Worth,1851
Osceola,1804
Keokuk,1791
Adams,1789
Fremont,1783
Van Buren,1656
