County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,22683,239782,12250,514108
Linn,7590,116565,8561,248026
Scott,6407,76232,6123,166251
Johnson,5983,86960,4146,183637
Black Hawk,4658,63985,6089,138945
Story,4300,47221,2736,100689
Pottawattamie,3922,42398,4836,94477
Woodbury,3807,41007,4795,90197
Dallas,3151,42008,2421,88215
Dubuque,2918,57996,2126,120832
Cerro Gordo,1924,23778,1858,51407
Des Moines,1587,17206,713,36758
Clinton,1290,15739,1529,34371
Webster,1200,16362,1289,35477
Warren,1184,16358,964,34704
Marshall,1069,13055,2819,29893
Muscatine,970,13233,4888,32453
Wapello,816,11543,866,24891
Lee,809,11495,1879,25915
Bremer,790,11790,1219,25584
Jasper,756,13431,1132,28553
Marion,697,11568,4014,27991
Buena Vista,624,6617,3556,17512
Boone,582,10877,550,22833
Page,571,6508,800,14417
Jefferson,557,7082,956,15671
Tama,549,8001,984,17606
Emmet,542,4500,378,10038
Winneshiek,526,7784,1005,17065
Sioux,507,9635,2634,22421
Mills,495,5689,145,12046
Carroll,489,9331,1095,20420
Fayette,473,9768,909,20935
Poweshiek,464,8851,415,18485
Washington,462,6947,541,14902
Clay,459,7944,263,16554
Henry,445,7011,1888,16406
Cass,435,9916,428,20923
Mahaska,433,7143,536,15302
Dickinson,424,7347,243,15363
Benton,381,7312,461,15472
Plymouth,378,6820,2938,16997
Kossuth,358,5697,478,12271
Crawford,314,5846,1584,13615
Union,308,4689,296,9888
Allamakee,302,5445,112,11312
Jackson,294,7792,258,16122
Grundy,288,4439,392,9572
Montgomery,273,3110,572,7087
Floyd,266,6128,1026,13566
Jones,265,5968,887,13146
Buchanan,262,6016,318,12612
O'Brien,260,5089,338,10785
Clarke,253,4046,1363,9722
Madison,252,6727,154,13929
Cedar,250,6037,280,12572
Harrison,248,3243,245,6992
Appanoose,246,4085,477,8985
Out of State,246,5211,1,10374
Wright,229,4709,1712,11340
Delaware,226,4456,757,9857
Hamilton,222,6722,403,14226
Hardin,220,5983,1322,13565
Humboldt,211,3827,380,8394
Winnebago,209,3787,500,8302
Shelby,209,5585,129,11551
Iowa,207,5554,615,11953
Greene,204,4287,501,9353
Cherokee,200,4518,264,9507
Guthrie,186,4244,256,8948
Clayton,173,5904,658,12685
Wayne,170,2852,376,6356
Lucas,159,3285,396,7217
Monroe,157,3093,287,6662
Mitchell,153,4272,150,8867
Palo Alto,152,3222,147,6769
Davis,150,3168,1658,8168
Decatur,146,2787,118,5933
Louisa,142,3152,1525,7953
Franklin,136,3385,244,7160
Howard,127,2075,182,4446
Adair,124,2160,331,4725
Chickasaw,113,2726,337,5895
Ida,111,1537,491,3672
Lyon,103,2923,72,6032
Butler,93,3773,165,7823
Sac,90,3206,50,6571
Taylor,81,2169,20,4467
Van Buren,77,1401,111,2992
Hancock,76,2949,718,6693
Calhoun,76,4072,177,8430
Adams,74,1636,8,3543
Monona,73,2097,201,4452
Fremont,69,1579,98,3325
Pocahontas,65,1851,146,3917
Ringgold,64,2040,5,4205
Worth,46,1698,1,3440
Keokuk,38,1572,100,3280
Osceola,37,1472,161,3140
Audubon,26,1989,101,4102
