County of Vaccine Provider,Number of Doses
Polk,622324
Linn,289582
Johnson,207899
Scott,201509
Black Hawk,165715
Dubuque,138191
Story,116872
Woodbury,113615
Pottawattamie,113219
Dallas,106529
Cerro Gordo,61676
Des Moines,44903
Clinton,42757
Webster,42333
Warren,40082
Muscatine,39668
Marshall,37649
Jasper,32904
Marion,32705
Lee,32187
Wapello,30634
Bremer,30438
Sioux,27007
Boone,25733
Carroll,24244
Buena Vista,23656
Fayette,23548
Cass,23078
Poweshiek,21384
Winneshiek,21227
Plymouth,19834
Henry,19706
Clay,19412
Tama,19336
Jackson,18559
Jefferson,18519
Mahaska,18352
Dickinson,18177
Washington,18030
Benton,17481
Page,17115
Crawford,16393
Hamilton,16055
Floyd,15992
Hardin,15595
Madison,15424
Jones,15188
Buchanan,15158
Mills,14040
Cedar,14026
Kossuth,13838
Clayton,13653
Shelby,13221
Iowa,13148
Wright,13006
Allamakee,12916
O'Brien,12576
Delaware,12105
Union,12001
Clarke,11381
Emmet,11306
Cherokee,11266
Out of State,11235
Grundy,11201
Appanoose,10710
Greene,10443
Mitchell,10171
Guthrie,10023
Winnebago,9752
Humboldt,9466
Louisa,9234
Davis,9072
Calhoun,8972
Montgomery,8636
Franklin,8168
Butler,8161
Lucas,8138
Harrison,7832
Palo Alto,7760
Monroe,7490
Hancock,7448
Sac,7068
Lyon,6998
Wayne,6970
Decatur,6622
Chickasaw,6493
Howard,5570
Adair,5186
Monona,5130
Taylor,4948
Ringgold,4819
Pocahontas,4442
Audubon,4408
Ida,4163
Adams,3904
Worth,3821
Fremont,3619
Keokuk,3596
Osceola,3509
Van Buren,3308
