County of Vaccine Provider,Vaccinations Completed
Polk,321580
Linn,151683
Johnson,108499
Scott,102347
Black Hawk,86070
Dubuque,70797
Story,61565
Woodbury,58708
Pottawattamie,57616
Dallas,56786
Cerro Gordo,31624
Muscatine,22662
Des Moines,22506
Clinton,21761
Webster,21643
Warren,20863
Marshall,20645
Marion,18371
Jasper,17289
Lee,16715
Bremer,16044
Wapello,15749
Sioux,14797
Buena Vista,13764
Boone,13166
Carroll,12825
Fayette,12221
Cass,11614
Plymouth,11365
Winneshiek,11277
Poweshiek,10911
Henry,10910
Tama,9953
Clay,9748
Jefferson,9660
Jackson,9528
Mahaska,9386
Washington,9269
Benton,9021
Dickinson,8971
Crawford,8928
Page,8801
Floyd,8662
Hardin,8499
Hamilton,8197
Jones,8177
Madison,7769
Buchanan,7750
Wright,7531
Cedar,7238
Clayton,7115
Kossuth,7104
Iowa,6950
Mills,6867
Shelby,6660
Delaware,6544
O'Brien,6513
Allamakee,6438
Clarke,6387
Union,6222
Grundy,5864
Cherokee,5774
Out of State,5732
Emmet,5718
Appanoose,5518
Greene,5469
Davis,5438
Louisa,5384
Mitchell,5208
Guthrie,5179
Winnebago,5086
Humboldt,4855
Calhoun,4620
Montgomery,4538
Franklin,4216
Lucas,4204
Butler,4156
Hancock,4129
Harrison,3993
Palo Alto,3982
Monroe,3924
Wayne,3606
Sac,3534
Lyon,3479
Chickasaw,3459
Decatur,3280
Howard,2912
Adair,2829
Monona,2738
Taylor,2485
Ringgold,2431
Ida,2354
Pocahontas,2308
Audubon,2264
Worth,1928
Adams,1888
Osceola,1869
Keokuk,1861
Fremont,1859
Van Buren,1731
