County of Vaccine Provider,Vaccinations Completed
Polk,294104
Linn,140836
Johnson,99766
Scott,94057
Black Hawk,80085
Dubuque,66430
Story,56935
Woodbury,53921
Pottawattamie,53848
Dallas,51481
Cerro Gordo,29571
Muscatine,20793
Des Moines,20793
Webster,20208
Clinton,20119
Warren,19370
Marshall,18841
Marion,17360
Jasper,16216
Lee,15652
Bremer,15029
Wapello,14504
Sioux,13913
Boone,12619
Buena Vista,12542
Carroll,11878
Fayette,11656
Cass,11132
Plymouth,10765
Henry,10261
Poweshiek,10233
Winneshiek,10158
Tama,9576
Clay,9145
Jefferson,9059
Jackson,8984
Mahaska,8752
Washington,8620
Benton,8547
Dickinson,8483
Crawford,8393
Page,8207
Floyd,8191
Hardin,8015
Hamilton,7773
Jones,7683
Madison,7478
Buchanan,7345
Wright,7130
Clayton,6880
Kossuth,6833
Cedar,6825
Mills,6668
Iowa,6620
Shelby,6368
Allamakee,6162
O'Brien,6110
Clarke,6035
Delaware,5992
Union,5743
Grundy,5476
Cherokee,5451
Out of State,5349
Emmet,5308
Greene,5191
Davis,5160
Appanoose,5122
Louisa,4981
Mitchell,4977
Guthrie,4940
Winnebago,4787
Humboldt,4634
Calhoun,4448
Montgomery,4227
Butler,4072
Lucas,4029
Franklin,4017
Hancock,3929
Harrison,3808
Monroe,3751
Palo Alto,3740
Wayne,3473
Sac,3421
Chickasaw,3316
Lyon,3298
Decatur,3155
Howard,2713
Adair,2674
Monona,2557
Taylor,2372
Ringgold,2267
Ida,2218
Pocahontas,2204
Audubon,2203
Worth,1829
Osceola,1785
Keokuk,1777
Fremont,1771
Adams,1763
Van Buren,1638
