County of Vaccine Provider,Number of Doses
Polk,839379
Linn,396892
Johnson,289617
Scott,268154
Black Hawk,215393
Dubuque,184293
Story,161185
Dallas,154771
Woodbury,145096
Pottawattamie,144938
Cerro Gordo,80556
Des Moines,57693
Clinton,57187
Webster,54792
Warren,54123
Muscatine,53420
Marshall,51503
Jasper,43141
Marion,42905
Bremer,41446
Lee,41419
Wapello,39187
Sioux,34170
Carroll,33251
Boone,32934
Winneshiek,31755
Buena Vista,30525
Fayette,30275
Poweshiek,28684
Cass,28593
Washington,26576
Henry,25910
Plymouth,25566
Clay,25198
Jackson,25169
Tama,24066
Dickinson,24035
Jefferson,24002
Mahaska,23841
Benton,23019
Page,22916
Floyd,21641
Jones,21471
Crawford,21237
Hardin,20814
Hamilton,20361
Buchanan,19566
Madison,19311
Cedar,18391
Kossuth,17837
Mills,17563
Shelby,17521
Wright,17357
Clayton,17110
Iowa,16843
Delaware,16759
O'Brien,16614
Allamakee,16492
Union,16247
Grundy,15256
Cherokee,14945
Clarke,14649
Appanoose,14240
Emmet,14085
Guthrie,13828
Mitchell,13548
Winnebago,13272
Greene,13141
Montgomery,11948
Humboldt,11911
Out of State,11874
Davis,11421
Calhoun,11397
Louisa,11160
Franklin,10669
Lucas,10436
Palo Alto,10287
Harrison,10171
Butler,10151
Monroe,9591
Lyon,9446
Hancock,9311
Sac,8834
Chickasaw,8591
Wayne,8515
Decatur,8256
Howard,7875
Adair,6893
Monona,6804
Ringgold,6693
Taylor,6343
Pocahontas,5767
Ida,5258
Audubon,5134
Worth,5035
Adams,4989
Fremont,4688
Keokuk,4682
Osceola,4566
Van Buren,4247
