County of Vaccine Provider,Number of Doses
Polk,787043
Linn,375327
Johnson,274085
Scott,252829
Black Hawk,205469
Dubuque,176254
Story,151929
Dallas,143443
Woodbury,137442
Pottawattamie,137176
Cerro Gordo,76809
Des Moines,55230
Clinton,54133
Webster,52528
Warren,51511
Muscatine,49991
Marshall,47968
Jasper,41414
Marion,40906
Bremer,39446
Lee,39194
Wapello,37434
Sioux,32257
Boone,31517
Carroll,31427
Winneshiek,29726
Fayette,29019
Buena Vista,28645
Cass,27594
Poweshiek,27291
Washington,25226
Henry,24909
Plymouth,24261
Clay,23922
Jackson,23773
Tama,23014
Jefferson,22892
Dickinson,22830
Mahaska,22623
Benton,21987
Page,21917
Floyd,20629
Jones,20277
Crawford,20166
Hardin,19926
Hamilton,19638
Buchanan,18617
Madison,18522
Cedar,17600
Kossuth,17100
Mills,16801
Shelby,16740
Wright,16582
Clayton,16505
Iowa,16241
Allamakee,15990
O'Brien,15847
Delaware,15841
Union,15471
Grundy,14506
Cherokee,14331
Clarke,13968
Appanoose,13601
Emmet,13573
Guthrie,13298
Mitchell,13003
Winnebago,12682
Greene,12674
Out of State,11742
Humboldt,11425
Montgomery,11245
Calhoun,11092
Davis,10982
Louisa,10880
Franklin,10135
Lucas,10096
Palo Alto,9853
Butler,9807
Harrison,9634
Monroe,9233
Hancock,9002
Lyon,8980
Sac,8553
Wayne,8294
Chickasaw,8199
Decatur,8004
Howard,7288
Adair,6637
Ringgold,6446
Monona,6443
Taylor,6121
Pocahontas,5538
Ida,5058
Audubon,4968
Worth,4863
Adams,4789
Fremont,4529
Keokuk,4504
Osceola,4380
Van Buren,4169
