County,Vaccinations Completed
Polk,291597
Linn,135294
Johnson,95997
Scott,83995
Black Hawk,71805
Dubuque,56199
Story,55864
Dallas,55241
Woodbury,48998
Pottawattamie,44207
Warren,27667
Cerro Gordo,24378
Muscatine,23266
Marshall,23131
Clinton,22259
Jasper,19935
Webster,18772
Des Moines,18075
Marion,16136
Wapello,15842
Boone,15407
Lee,15123
Bremer,13803
Benton,13505
Sioux,13422
Plymouth,12149
Buena Vista,12136
Winneshiek,11480
Carroll,11364
Washington,11353
Jones,11199
Buchanan,10566
Cedar,10178
Fayette,9936
Poweshiek,9935
Henry,9918
Jackson,9546
Tama,9444
Iowa,9392
Dickinson,9142
Mahaska,8878
Hardin,8647
Delaware,8542
Hamilton,8476
Crawford,8234
Madison,8053
Jefferson,8038
Clay,7799
Butler,7784
Floyd,7721
Clayton,7660
Page,7292
Kossuth,7198
Grundy,7018
Cass,6836
Mills,6782
Wright,6633
O'Brien,6471
Allamakee,6178
Shelby,6159
Harrison,6150
Chickasaw,6023
Guthrie,5763
Union,5762
Cherokee,5582
Calhoun,5321
Appanoose,5315
Louisa,5273
Winnebago,5015
Franklin,5015
Montgomery,5007
Hancock,4889
Mitchell,4863
Sac,4782
Greene,4768
Clarke,4670
Humboldt,4394
Keokuk,4359
Emmet,4350
Howard,4325
Monona,4165
Palo Alto,4159
Lyon,3908
Lucas,3635
Worth,3569
Adair,3288
Pocahontas,3273
Monroe,3265
Ida,3140
Davis,3008
Audubon,2996
Decatur,2893
Fremont,2849
Van Buren,2763
Taylor,2607
Osceola,2506
Wayne,2491
Ringgold,2359
Adams,1801
.,67
