County of Vaccine Provider,Number of Doses
Polk,746891
Linn,356085
Johnson,259286
Scott,240381
Black Hawk,197173
Dubuque,168630
Story,142672
Dallas,134791
Woodbury,132062
Pottawattamie,131115
Cerro Gordo,73372
Des Moines,53341
Clinton,51069
Webster,50658
Warren,49105
Muscatine,47247
Marshall,45412
Jasper,39926
Marion,38763
Lee,37663
Bremer,37655
Wapello,35600
Sioux,30796
Boone,30285
Carroll,29864
Fayette,28063
Winneshiek,27467
Buena Vista,27366
Cass,26828
Poweshiek,26093
Washington,23824
Henry,23802
Plymouth,23262
Clay,23060
Jackson,22513
Tama,22139
Jefferson,21860
Dickinson,21847
Mahaska,21746
Page,20849
Benton,20566
Floyd,19883
Crawford,19264
Jones,19124
Hamilton,19105
Hardin,19024
Buchanan,17839
Madison,17736
Cedar,16725
Kossuth,16395
Mills,16281
Shelby,16057
Clayton,15892
Wright,15820
Iowa,15582
Allamakee,15295
O'Brien,15079
Delaware,14900
Union,14737
Grundy,13849
Cherokee,13802
Clarke,13276
Emmet,13160
Appanoose,13022
Guthrie,12697
Mitchell,12495
Greene,12342
Winnebago,11998
Out of State,11550
Humboldt,11039
Calhoun,10804
Montgomery,10757
Davis,10616
Louisa,10493
Lucas,9849
Palo Alto,9537
Franklin,9499
Butler,9494
Monroe,8935
Harrison,8682
Hancock,8649
Lyon,8616
Sac,8455
Wayne,8042
Chickasaw,7841
Decatur,7790
Howard,6815
Adair,6398
Monona,6310
Ringgold,6222
Taylor,5921
Pocahontas,5316
Audubon,4813
Ida,4733
Worth,4720
Adams,4591
Fremont,4341
Keokuk,4323
Osceola,4197
Van Buren,4022
