County,Vaccinations Completed
Polk,313628
Linn,143943
Johnson,102887
Scott,89603
Black Hawk,75395
Dallas,60383
Dubuque,59469
Story,59196
Woodbury,51592
Pottawattamie,46769
Warren,29527
Cerro Gordo,25543
Muscatine,24794
Marshall,24675
Clinton,23422
Jasper,20989
Webster,19545
Des Moines,19032
Marion,16944
Wapello,16636
Boone,16174
Lee,15772
Bremer,14466
Benton,14258
Sioux,13958
Plymouth,12739
Buena Vista,12723
Winneshiek,12128
Washington,11891
Carroll,11865
Jones,11712
Buchanan,10977
Cedar,10709
Poweshiek,10466
Henry,10365
Fayette,10332
Jackson,10012
Iowa,9856
Tama,9816
Dickinson,9510
Mahaska,9350
Hardin,9085
Delaware,8990
Hamilton,8954
Crawford,8616
Madison,8477
Jefferson,8396
Clay,8193
Butler,8111
Floyd,8104
Clayton,7895
Page,7634
Kossuth,7497
Grundy,7244
Cass,7171
Mills,7032
Wright,6970
O'Brien,6692
Allamakee,6456
Harrison,6433
Shelby,6396
Chickasaw,6332
Union,6039
Guthrie,6001
Cherokee,5734
Appanoose,5614
Calhoun,5558
Louisa,5536
Montgomery,5232
Winnebago,5225
Franklin,5221
Hancock,5096
Mitchell,5043
Greene,5014
Sac,4970
Clarke,4926
Humboldt,4614
Emmet,4588
Keokuk,4515
Howard,4513
Palo Alto,4337
Monona,4326
Lyon,4071
Lucas,3770
Worth,3725
Adair,3448
Monroe,3427
Pocahontas,3378
Ida,3295
Davis,3134
Audubon,3079
Decatur,3039
Fremont,2947
Van Buren,2863
Taylor,2749
Wayne,2613
Osceola,2604
Ringgold,2493
Adams,1938
.,72
