County,Vaccinations Completed
Polk,305324
Linn,140716
Johnson,101585
Scott,87466
Black Hawk,74126
Dallas,58522
Dubuque,58423
Story,58355
Woodbury,50585
Pottawattamie,45715
Warren,28850
Cerro Gordo,25061
Muscatine,24302
Marshall,23939
Clinton,22936
Jasper,20567
Webster,19231
Des Moines,18688
Marion,16644
Wapello,16317
Boone,15887
Lee,15481
Bremer,14222
Benton,13994
Sioux,13702
Plymouth,12497
Buena Vista,12443
Winneshiek,11913
Washington,11685
Carroll,11658
Jones,11473
Buchanan,10800
Cedar,10535
Poweshiek,10302
Henry,10218
Fayette,10163
Jackson,9794
Iowa,9677
Tama,9609
Dickinson,9357
Mahaska,9135
Hardin,8937
Delaware,8799
Hamilton,8768
Crawford,8414
Madison,8310
Jefferson,8258
Clay,8032
Butler,7947
Floyd,7940
Clayton,7792
Page,7470
Kossuth,7394
Grundy,7162
Cass,7018
Mills,6904
Wright,6840
O'Brien,6601
Allamakee,6339
Shelby,6315
Harrison,6278
Chickasaw,6163
Guthrie,5917
Union,5911
Cherokee,5667
Calhoun,5489
Appanoose,5482
Louisa,5399
Montgomery,5137
Winnebago,5136
Franklin,5124
Hancock,4999
Mitchell,4976
Greene,4924
Sac,4868
Clarke,4842
Humboldt,4533
Emmet,4500
Keokuk,4447
Howard,4427
Monona,4272
Palo Alto,4266
Lyon,3977
Lucas,3720
Worth,3646
Adair,3411
Monroe,3366
Pocahontas,3338
Ida,3230
Davis,3084
Audubon,3058
Decatur,2975
Fremont,2901
Van Buren,2837
Taylor,2690
Wayne,2567
Osceola,2560
Ringgold,2448
Adams,1885
.,67
