County of Vaccine Provider,Vaccinations Completed
Polk,295872
Linn,141572
Johnson,100088
Scott,94681
Black Hawk,80778
Dubuque,66704
Story,57158
Woodbury,54284
Pottawattamie,54140
Dallas,51763
Cerro Gordo,29733
Des Moines,20972
Muscatine,20876
Webster,20348
Clinton,20270
Warren,19459
Marshall,19000
Marion,17464
Jasper,16335
Lee,15758
Bremer,15108
Wapello,14660
Sioux,14025
Buena Vista,12681
Boone,12659
Carroll,11935
Fayette,11697
Cass,11161
Plymouth,10832
Henry,10330
Poweshiek,10266
Winneshiek,10246
Tama,9607
Clay,9189
Jefferson,9166
Jackson,9028
Mahaska,8815
Washington,8681
Benton,8583
Dickinson,8524
Crawford,8481
Page,8257
Floyd,8225
Hardin,8041
Hamilton,7803
Jones,7717
Madison,7496
Buchanan,7389
Wright,7151
Clayton,6915
Kossuth,6849
Cedar,6847
Mills,6686
Iowa,6676
Shelby,6389
Allamakee,6186
O'Brien,6159
Clarke,6060
Delaware,6028
Union,5784
Grundy,5500
Cherokee,5481
Out of State,5351
Emmet,5330
Greene,5208
Davis,5177
Appanoose,5158
Louisa,5002
Mitchell,4989
Guthrie,4959
Winnebago,4826
Humboldt,4647
Calhoun,4463
Montgomery,4253
Butler,4076
Lucas,4050
Franklin,4032
Hancock,3943
Harrison,3824
Monroe,3764
Palo Alto,3760
Wayne,3481
Sac,3434
Chickasaw,3330
Lyon,3322
Decatur,3160
Howard,2732
Adair,2686
Monona,2568
Taylor,2380
Ringgold,2279
Ida,2238
Audubon,2214
Pocahontas,2214
Worth,1837
Osceola,1800
Keokuk,1781
Adams,1774
Fremont,1774
Van Buren,1644
