County,Vaccinations Completed
Polk,285687
Linn,133061
Johnson,94899
Scott,82149
Black Hawk,70611
Dubuque,55488
Story,54878
Dallas,54253
Woodbury,47883
Pottawattamie,43310
Warren,27089
Cerro Gordo,23936
Muscatine,22730
Marshall,22585
Clinton,21860
Jasper,19440
Webster,18397
Des Moines,17678
Marion,15758
Wapello,15467
Boone,15171
Lee,14766
Bremer,13562
Benton,13289
Sioux,13178
Plymouth,11865
Buena Vista,11847
Winneshiek,11259
Carroll,11175
Washington,11132
Jones,11013
Buchanan,10362
Cedar,9985
Fayette,9734
Poweshiek,9718
Henry,9649
Jackson,9411
Tama,9194
Iowa,9190
Dickinson,8984
Mahaska,8682
Hardin,8469
Delaware,8353
Hamilton,8321
Crawford,8032
Jefferson,7906
Madison,7894
Butler,7670
Clay,7638
Floyd,7555
Clayton,7517
Kossuth,7097
Page,7067
Grundy,6849
Cass,6714
Mills,6672
Wright,6529
O'Brien,6330
Shelby,6080
Harrison,6047
Allamakee,6034
Chickasaw,5908
Guthrie,5670
Union,5616
Cherokee,5460
Calhoun,5212
Appanoose,5198
Louisa,5130
Montgomery,4930
Franklin,4910
Winnebago,4898
Hancock,4803
Mitchell,4778
Sac,4688
Greene,4669
Clarke,4552
Humboldt,4333
Keokuk,4263
Howard,4245
Emmet,4200
Monona,4094
Palo Alto,4072
Lyon,3824
Lucas,3530
Worth,3486
Pocahontas,3223
Adair,3220
Monroe,3213
Ida,3047
Davis,2946
Audubon,2931
Decatur,2813
Fremont,2797
Van Buren,2674
Taylor,2559
Osceola,2450
Wayne,2444
Ringgold,2317
Adams,1738
.,39
