County of Vaccine Provider,Vaccinations Completed
Polk,332056
Linn,155964
Johnson,110687
Scott,105391
Black Hawk,87975
Dubuque,72309
Story,63089
Woodbury,60257
Pottawattamie,59122
Dallas,58727
Cerro Gordo,32441
Muscatine,23312
Des Moines,23031
Clinton,22331
Webster,22093
Warren,21331
Marshall,21249
Marion,18691
Jasper,17633
Lee,17118
Bremer,16418
Wapello,16114
Sioux,15091
Buena Vista,14155
Boone,13431
Carroll,13188
Fayette,12442
Cass,11797
Winneshiek,11659
Plymouth,11567
Poweshiek,11126
Henry,11119
Tama,10326
Clay,9940
Jefferson,9836
Jackson,9792
Mahaska,9646
Washington,9488
Benton,9189
Dickinson,9170
Crawford,9168
Page,9050
Floyd,8851
Hardin,8654
Jones,8430
Hamilton,8351
Buchanan,7918
Madison,7872
Wright,7686
Cedar,7347
Kossuth,7235
Clayton,7181
Iowa,7071
Mills,6967
Shelby,6791
Delaware,6735
O'Brien,6671
Allamakee,6530
Clarke,6525
Union,6382
Grundy,5977
Cherokee,5863
Emmet,5815
Out of State,5808
Appanoose,5681
Greene,5555
Davis,5531
Louisa,5422
Mitchell,5316
Guthrie,5252
Winnebago,5177
Humboldt,4953
Calhoun,4666
Montgomery,4662
Franklin,4320
Lucas,4260
Butler,4194
Hancock,4188
Harrison,4087
Palo Alto,4056
Monroe,3983
Wayne,3654
Lyon,3596
Sac,3573
Chickasaw,3557
Decatur,3318
Howard,3007
Adair,2874
Monona,2794
Taylor,2536
Ringgold,2492
Ida,2381
Pocahontas,2331
Audubon,2275
Worth,1967
Adams,1948
Keokuk,1906
Fremont,1885
Osceola,1879
Van Buren,1747
