County of Vaccine Provider,Vaccinations Completed
Polk,303427
Linn,144417
Johnson,101647
Scott,97217
Black Hawk,82736
Dubuque,67720
Story,58146
Woodbury,56108
Pottawattamie,55220
Dallas,52884
Cerro Gordo,30403
Des Moines,21542
Muscatine,21454
Clinton,20873
Webster,20839
Warren,19892
Marshall,19745
Marion,17801
Jasper,16616
Lee,16138
Bremer,15405
Wapello,15149
Sioux,14356
Buena Vista,13268
Boone,12816
Carroll,12227
Fayette,11923
Cass,11320
Plymouth,11039
Winneshiek,10548
Henry,10545
Poweshiek,10496
Tama,9759
Clay,9378
Jefferson,9348
Jackson,9206
Mahaska,9061
Washington,8916
Benton,8708
Dickinson,8705
Crawford,8676
Page,8504
Floyd,8390
Hardin,8182
Hamilton,7940
Jones,7854
Madison,7603
Buchanan,7524
Wright,7292
Cedar,6984
Clayton,6982
Kossuth,6929
Mills,6766
Iowa,6766
Shelby,6501
O'Brien,6307
Allamakee,6297
Delaware,6233
Clarke,6163
Union,5932
Grundy,5724
Cherokee,5630
Out of State,5613
Emmet,5488
Greene,5310
Appanoose,5300
Davis,5239
Louisa,5114
Mitchell,5060
Guthrie,5045
Winnebago,4936
Humboldt,4718
Calhoun,4532
Montgomery,4368
Lucas,4123
Butler,4109
Franklin,4106
Hancock,4019
Harrison,3895
Monroe,3829
Palo Alto,3824
Wayne,3528
Sac,3504
Lyon,3395
Chickasaw,3375
Decatur,3203
Howard,2798
Adair,2715
Monona,2623
Taylor,2409
Ringgold,2323
Ida,2280
Pocahontas,2254
Audubon,2237
Worth,1864
Osceola,1820
Keokuk,1817
Adams,1812
Fremont,1804
Van Buren,1678
