County of Vaccine Provider,Vaccinations Completed
Polk,328757
Linn,154532
Johnson,109914
Scott,104295
Black Hawk,87383
Dubuque,71767
Story,62537
Woodbury,59657
Pottawattamie,58530
Dallas,58091
Cerro Gordo,32173
Muscatine,23091
Des Moines,22838
Clinton,22135
Webster,21912
Warren,21168
Marshall,21037
Marion,18568
Jasper,17527
Lee,16928
Bremer,16287
Wapello,15982
Sioux,14952
Buena Vista,13994
Boone,13357
Carroll,13067
Fayette,12361
Cass,11733
Winneshiek,11517
Plymouth,11512
Poweshiek,11071
Henry,11026
Tama,10251
Clay,9873
Jefferson,9778
Jackson,9694
Mahaska,9549
Washington,9399
Benton,9123
Crawford,9086
Dickinson,9085
Page,8963
Floyd,8787
Hardin,8620
Jones,8343
Hamilton,8301
Buchanan,7849
Madison,7822
Wright,7634
Cedar,7319
Kossuth,7176
Clayton,7148
Iowa,7029
Mills,6933
Shelby,6732
Delaware,6642
O'Brien,6629
Allamakee,6492
Clarke,6482
Union,6323
Grundy,5932
Cherokee,5829
Out of State,5782
Emmet,5776
Appanoose,5621
Greene,5528
Davis,5506
Louisa,5401
Mitchell,5277
Guthrie,5223
Winnebago,5147
Humboldt,4926
Calhoun,4651
Montgomery,4609
Franklin,4272
Lucas,4234
Butler,4182
Hancock,4163
Harrison,4059
Palo Alto,4027
Monroe,3964
Wayne,3637
Lyon,3571
Sac,3570
Chickasaw,3547
Decatur,3300
Howard,2983
Adair,2858
Monona,2774
Taylor,2518
Ringgold,2473
Ida,2367
Pocahontas,2325
Audubon,2270
Worth,1962
Adams,1929
Keokuk,1898
Osceola,1877
Fremont,1871
Van Buren,1733
