County of Vaccine Provider,Vaccinations Completed
Polk,314201
Linn,148169
Johnson,105527
Scott,100103
Black Hawk,84643
Dubuque,69444
Story,60112
Woodbury,57762
Pottawattamie,56495
Dallas,54869
Cerro Gordo,31128
Des Moines,22153
Muscatine,22108
Clinton,21328
Webster,21319
Warren,20492
Marshall,20279
Marion,18118
Jasper,17061
Lee,16480
Bremer,15790
Wapello,15512
Sioux,14613
Buena Vista,13570
Boone,13014
Carroll,12632
Fayette,12091
Cass,11489
Plymouth,11233
Winneshiek,10961
Poweshiek,10798
Henry,10748
Tama,9889
Clay,9558
Jefferson,9518
Jackson,9374
Mahaska,9248
Washington,9135
Benton,8895
Dickinson,8872
Crawford,8827
Page,8684
Floyd,8557
Hardin,8352
Hamilton,8121
Jones,7984
Madison,7673
Buchanan,7664
Wright,7375
Cedar,7097
Clayton,7068
Kossuth,7022
Mills,6832
Iowa,6829
Shelby,6576
O'Brien,6420
Delaware,6383
Allamakee,6380
Clarke,6253
Union,6113
Grundy,5788
Cherokee,5712
Out of State,5637
Emmet,5633
Appanoose,5435
Greene,5382
Davis,5363
Louisa,5352
Mitchell,5143
Guthrie,5086
Winnebago,5018
Humboldt,4814
Calhoun,4571
Montgomery,4461
Lucas,4164
Franklin,4160
Butler,4141
Hancock,4097
Harrison,3929
Palo Alto,3915
Monroe,3894
Wayne,3564
Sac,3529
Lyon,3442
Chickasaw,3419
Decatur,3249
Howard,2845
Adair,2794
Monona,2667
Taylor,2461
Ringgold,2387
Ida,2315
Pocahontas,2279
Audubon,2244
Worth,1915
Adams,1849
Osceola,1846
Keokuk,1838
Fremont,1819
Van Buren,1716
