County of Vaccine Provider,Number of Doses
Polk,838088
Linn,396364
Johnson,289211
Scott,267761
Black Hawk,215135
Dubuque,184060
Story,160924
Dallas,154313
Woodbury,144905
Pottawattamie,144711
Cerro Gordo,80445
Des Moines,57620
Clinton,57120
Webster,54750
Warren,54038
Muscatine,53341
Marshall,51289
Jasper,43112
Marion,42859
Bremer,41408
Lee,41339
Wapello,39147
Sioux,34104
Carroll,33199
Boone,32899
Winneshiek,31732
Buena Vista,30470
Fayette,30243
Poweshiek,28646
Cass,28571
Washington,26458
Henry,25894
Plymouth,25544
Clay,25160
Jackson,25152
Tama,24054
Dickinson,23979
Jefferson,23962
Mahaska,23829
Benton,23006
Page,22896
Floyd,21561
Jones,21447
Crawford,21217
Hardin,20791
Hamilton,20356
Buchanan,19535
Madison,19296
Cedar,18366
Kossuth,17829
Mills,17550
Shelby,17503
Wright,17335
Clayton,17045
Iowa,16827
Delaware,16720
O'Brien,16596
Allamakee,16484
Union,16216
Grundy,15240
Cherokee,14937
Clarke,14637
Appanoose,14224
Emmet,14079
Guthrie,13823
Mitchell,13498
Winnebago,13265
Greene,13124
Montgomery,11929
Humboldt,11905
Out of State,11871
Davis,11405
Calhoun,11397
Louisa,11143
Franklin,10617
Lucas,10427
Palo Alto,10278
Butler,10142
Harrison,10142
Monroe,9588
Lyon,9440
Hancock,9306
Sac,8834
Chickasaw,8579
Wayne,8512
Decatur,8254
Howard,7875
Adair,6893
Monona,6802
Ringgold,6689
Taylor,6341
Pocahontas,5761
Ida,5258
Audubon,5134
Worth,5033
Adams,4984
Keokuk,4682
Fremont,4678
Osceola,4561
Van Buren,4244
