County of Vaccine Provider,Vaccinations Completed
Polk,291500
Linn,139718
Johnson,99285
Scott,93159
Black Hawk,79433
Dubuque,66057
Story,56535
Pottawattamie,53450
Woodbury,53368
Dallas,50964
Cerro Gordo,29341
Muscatine,20625
Des Moines,20623
Webster,19980
Clinton,19960
Warren,19251
Marshall,18567
Marion,17229
Jasper,16142
Lee,15517
Bremer,14898
Wapello,14362
Sioux,13679
Boone,12567
Buena Vista,12262
Carroll,11782
Fayette,11578
Cass,11068
Plymouth,10675
Poweshiek,10159
Henry,10148
Winneshiek,10014
Tama,9535
Clay,9063
Jefferson,8981
Jackson,8907
Mahaska,8649
Washington,8522
Benton,8494
Dickinson,8425
Crawford,8314
Page,8151
Floyd,8130
Hardin,7941
Hamilton,7742
Jones,7620
Madison,7428
Buchanan,7270
Wright,7096
Clayton,6853
Cedar,6790
Kossuth,6786
Mills,6637
Iowa,6584
Shelby,6334
Allamakee,6115
O'Brien,6049
Clarke,6007
Delaware,5937
Union,5674
Grundy,5432
Cherokee,5408
Out of State,5340
Emmet,5286
Greene,5139
Davis,5132
Appanoose,5068
Louisa,4959
Mitchell,4938
Guthrie,4909
Winnebago,4734
Humboldt,4604
Calhoun,4430
Montgomery,4180
Butler,4066
Lucas,4009
Franklin,3986
Hancock,3910
Harrison,3784
Monroe,3724
Palo Alto,3714
Wayne,3457
Sac,3402
Chickasaw,3306
Lyon,3261
Decatur,3134
Howard,2677
Adair,2662
Monona,2540
Taylor,2362
Ringgold,2239
Ida,2208
Pocahontas,2193
Audubon,2190
Worth,1814
Osceola,1780
Keokuk,1766
Fremont,1760
Adams,1751
Van Buren,1611
