County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,22693,239885,12260,514334
Linn,7564,116633,8566,248141
Scott,6371,76290,6129,166337
Johnson,5989,86978,4146,183679
Black Hawk,4665,64065,6112,139136
Story,4290,47240,2745,100726
Pottawattamie,3911,42417,4837,94505
Woodbury,3810,41011,4802,90215
Dallas,3154,42016,2423,88239
Dubuque,2918,58028,2129,120902
Cerro Gordo,1923,23798,1859,51447
Des Moines,1592,17210,714,36772
Clinton,1290,15739,1529,34371
Webster,1200,16362,1302,35490
Warren,1190,16365,964,34722
Marshall,1069,13056,2819,29897
Muscatine,959,13247,4888,32470
Wapello,817,11543,877,24904
Lee,800,11506,1883,25932
Bremer,786,11797,1219,25594
Jasper,744,13450,1137,28583
Marion,697,11568,4022,27999
Buena Vista,631,6617,3559,17522
Boone,581,10879,550,22836
Page,569,6511,801,14422
Jefferson,556,7089,956,15684
Tama,547,8001,984,17605
Emmet,542,4500,378,10038
Winneshiek,520,7792,1005,17076
Sioux,508,9637,2634,22426
Mills,494,5689,145,12046
Carroll,481,9348,1097,20448
Fayette,473,9769,909,20936
Poweshiek,462,8864,424,18516
Clay,459,7944,264,16555
Washington,459,6955,541,14915
Henry,441,7015,1890,16412
Cass,435,9916,428,20923
Mahaska,433,7143,538,15304
Dickinson,422,7352,243,15371
Benton,382,7316,461,15482
Plymouth,375,6827,2938,17008
Kossuth,341,5714,479,12289
Crawford,315,5850,1584,13625
Union,304,4695,297,9897
Allamakee,301,5450,112,11320
Grundy,287,4442,393,9576
Jackson,283,7807,258,16141
Montgomery,273,3112,575,7093
Floyd,266,6128,1028,13568
Buchanan,264,6022,326,12633
O'Brien,261,5091,338,10790
Jones,255,5986,887,13169
Madison,249,6731,155,13935
Harrison,248,3243,245,6992
Appanoose,246,4085,477,8985
Out of State,246,5211,1,10374
Cedar,240,6050,280,12587
Wright,235,4713,1712,11354
Clarke,235,4064,1363,9740
Delaware,232,4457,757,9865
Hardin,221,5983,1326,13570
Hamilton,212,6733,406,14241
Shelby,212,5590,131,11565
Humboldt,211,3827,381,8395
Winnebago,207,3791,500,8308
Iowa,207,5558,615,11961
Cherokee,200,4518,264,9507
Greene,189,4305,501,9374
Guthrie,184,4251,259,8963
Clayton,173,5904,660,12688
Wayne,170,2852,377,6357
Lucas,159,3287,396,7221
Monroe,156,3094,287,6663
Palo Alto,152,3222,147,6769
Davis,151,3168,1659,8170
Decatur,146,2787,118,5933
Louisa,142,3154,1526,7958
Franklin,138,3385,244,7162
Mitchell,137,4297,155,8906
Howard,126,2075,182,4445
Adair,124,2161,331,4727
Chickasaw,113,2727,337,5897
Ida,105,1544,491,3680
Lyon,103,2924,74,6036
Butler,93,3774,168,7828
Sac,90,3206,50,6571
Taylor,81,2169,20,4467
Van Buren,77,1401,111,2992
Calhoun,75,4072,177,8429
Adams,74,1636,8,3543
Monona,73,2098,201,4454
Hancock,71,2958,718,6706
Fremont,67,1584,98,3333
Pocahontas,65,1851,148,3919
Ringgold,64,2040,5,4205
Worth,46,1698,1,3440
Keokuk,38,1575,100,3286
Osceola,37,1472,162,3141
Audubon,26,1995,101,4114
