County of Vaccine Provider,Number of Doses
Polk,574922
Linn,271412
Johnson,196986
Scott,183412
Black Hawk,153828
Dubuque,130489
Story,109583
Pottawattamie,104741
Woodbury,102605
Dallas,98840
Cerro Gordo,57140
Des Moines,41217
Webster,39418
Clinton,38764
Warren,37755
Muscatine,36290
Marshall,34019
Jasper,30899
Marion,30694
Lee,29164
Bremer,28369
Wapello,27926
Sioux,24721
Boone,24575
Carroll,22491
Fayette,22297
Cass,22127
Buena Vista,20537
Poweshiek,19922
Winneshiek,19000
Plymouth,18480
Tama,18473
Henry,18294
Clay,17956
Jackson,17472
Jefferson,17217
Mahaska,16941
Dickinson,16792
Benton,16596
Washington,16553
Page,15774
Hamilton,15220
Crawford,15101
Floyd,14994
Madison,14836
Hardin,14671
Jones,14282
Buchanan,14120
Mills,13448
Cedar,13339
Kossuth,13193
Clayton,13157
Shelby,12529
Iowa,12476
Wright,12300
Allamakee,12237
O'Brien,11704
Union,11017
Delaware,10986
Clarke,10695
Out of State,10619
Emmet,10613
Grundy,10519
Cherokee,10455
Greene,9905
Appanoose,9799
Mitchell,9624
Guthrie,9581
Winnebago,9051
Humboldt,9018
Davis,8679
Calhoun,8642
Louisa,8306
Butler,8008
Montgomery,7939
Franklin,7727
Lucas,7727
Harrison,7455
Palo Alto,7261
Monroe,7164
Hancock,7030
Sac,6769
Wayne,6665
Lyon,6424
Decatur,6313
Chickasaw,6227
Howard,5038
Adair,4971
Monona,4776
Taylor,4744
Ringgold,4530
Audubon,4269
Pocahontas,4209
Ida,3929
Adams,3668
Worth,3634
Fremont,3478
Keokuk,3441
Osceola,3343
Van Buren,3109
