County,Vaccinations Completed
Polk,282324
Linn,131674
Johnson,94172
Scott,81212
Black Hawk,69614
Dubuque,55081
Story,54362
Dallas,53679
Woodbury,47138
Pottawattamie,42832
Warren,26778
Cerro Gordo,23710
Muscatine,22448
Marshall,22172
Clinton,21596
Jasper,19216
Webster,18201
Des Moines,17414
Marion,15525
Wapello,15211
Boone,15044
Lee,14617
Bremer,13450
Benton,13153
Sioux,13020
Plymouth,11708
Buena Vista,11555
Winneshiek,11154
Carroll,11081
Washington,11017
Jones,10926
Buchanan,10243
Cedar,9914
Fayette,9608
Poweshiek,9600
Henry,9539
Jackson,9317
Iowa,9085
Tama,9067
Dickinson,8923
Mahaska,8544
Hardin,8389
Hamilton,8218
Delaware,8212
Crawford,7926
Jefferson,7844
Madison,7791
Butler,7602
Clay,7545
Floyd,7501
Clayton,7487
Kossuth,7027
Page,6967
Grundy,6783
Cass,6627
Mills,6621
Wright,6449
O'Brien,6253
Shelby,6005
Harrison,5989
Allamakee,5964
Chickasaw,5831
Guthrie,5634
Union,5566
Cherokee,5419
Calhoun,5128
Appanoose,5107
Louisa,5048
Montgomery,4852
Winnebago,4850
Franklin,4831
Hancock,4752
Mitchell,4738
Sac,4619
Greene,4602
Clarke,4494
Humboldt,4271
Howard,4217
Keokuk,4214
Emmet,4133
Monona,4051
Palo Alto,4033
Lyon,3771
Lucas,3471
Worth,3435
Adair,3189
Monroe,3175
Pocahontas,3166
Ida,2999
Audubon,2924
Davis,2914
Fremont,2789
Decatur,2778
Van Buren,2642
Taylor,2531
Osceola,2437
Wayne,2418
Ringgold,2277
Adams,1716
.,38
