County of Vaccine Provider,Number of Doses
Polk,591834
Linn,277268
Johnson,200228
Scott,188381
Black Hawk,158386
Dubuque,132991
Story,112587
Pottawattamie,107498
Woodbury,106247
Dallas,101532
Cerro Gordo,58729
Des Moines,42430
Webster,40449
Clinton,39885
Warren,38529
Muscatine,37380
Marshall,35250
Jasper,31692
Marion,31359
Lee,30055
Bremer,29121
Wapello,28872
Sioux,25476
Boone,25008
Carroll,23013
Fayette,22760
Cass,22409
Buena Vista,21835
Poweshiek,20327
Winneshiek,19622
Plymouth,18964
Henry,18789
Tama,18762
Clay,18475
Jackson,17864
Jefferson,17639
Mahaska,17429
Dickinson,17125
Washington,17036
Benton,16907
Page,16179
Crawford,15590
Hamilton,15492
Floyd,15339
Madison,15028
Hardin,14958
Jones,14603
Buchanan,14505
Mills,13630
Cedar,13501
Kossuth,13423
Clayton,13316
Shelby,12750
Iowa,12699
Wright,12564
Allamakee,12482
O'Brien,11992
Delaware,11353
Union,11300
Clarke,10933
Emmet,10785
Cherokee,10743
Grundy,10717
Out of State,10644
Appanoose,10079
Greene,10074
Mitchell,9847
Guthrie,9715
Winnebago,9258
Humboldt,9175
Davis,8799
Calhoun,8764
Louisa,8431
Montgomery,8168
Butler,8049
Franklin,7887
Lucas,7871
Harrison,7614
Palo Alto,7435
Monroe,7262
Hancock,7179
Sac,6853
Wayne,6783
Lyon,6543
Decatur,6404
Chickasaw,6321
Howard,5237
Adair,5044
Monona,4907
Taylor,4803
Ringgold,4621
Audubon,4325
Pocahontas,4287
Ida,4014
Adams,3733
Worth,3680
Fremont,3504
Keokuk,3475
Osceola,3388
Van Buren,3160
