County of Vaccine Provider,Vaccinations Completed
Polk,278625
Linn,135312
Johnson,96812
Scott,89390
Black Hawk,76119
Dubuque,64009
Story,53746
Pottawattamie,51202
Woodbury,50576
Dallas,48679
Cerro Gordo,27967
Muscatine,19761
Des Moines,19696
Webster,19200
Clinton,19046
Warren,18627
Marshall,17746
Marion,16662
Jasper,15551
Lee,14818
Bremer,14275
Wapello,13650
Sioux,13120
Boone,12190
Buena Vista,11340
Carroll,11322
Fayette,11202
Cass,10821
Plymouth,10324
Poweshiek,9838
Henry,9746
Winneshiek,9547
Tama,9309
Clay,8735
Jefferson,8636
Jackson,8590
Mahaska,8290
Benton,8206
Dickinson,8152
Washington,8099
Crawford,7955
Page,7851
Floyd,7835
Hardin,7683
Hamilton,7504
Jones,7361
Madison,7242
Buchanan,6915
Wright,6858
Clayton,6715
Cedar,6654
Kossuth,6602
Mills,6463
Iowa,6427
Shelby,6133
Allamakee,5921
O'Brien,5830
Clarke,5796
Delaware,5631
Union,5421
Grundy,5259
Out of State,5211
Cherokee,5175
Emmet,5125
Davis,5024
Greene,5004
Louisa,4838
Appanoose,4835
Guthrie,4781
Mitchell,4710
Winnebago,4579
Humboldt,4466
Calhoun,4340
Butler,4030
Montgomery,3994
Lucas,3910
Franklin,3851
Hancock,3801
Monroe,3647
Harrison,3627
Palo Alto,3568
Wayne,3361
Sac,3320
Chickasaw,3208
Lyon,3156
Decatur,3055
Adair,2591
Howard,2479
Monona,2418
Taylor,2306
Ringgold,2171
Ida,2164
Audubon,2146
Pocahontas,2125
Worth,1773
Osceola,1744
Fremont,1726
Keokuk,1725
Adams,1698
Van Buren,1579
