County of Vaccine Provider,Number of Doses
Polk,610894
Linn,285271
Johnson,204770
Scott,195966
Black Hawk,163484
Dubuque,136028
Story,115269
Pottawattamie,110987
Woodbury,110929
Dallas,104646
Cerro Gordo,60469
Des Moines,44020
Webster,41670
Clinton,41627
Warren,39522
Muscatine,38709
Marshall,36994
Jasper,32490
Marion,32235
Lee,31281
Wapello,30055
Bremer,29949
Sioux,26547
Boone,25449
Carroll,23696
Fayette,23284
Buena Vista,23205
Cass,22843
Poweshiek,20928
Winneshiek,20605
Plymouth,19529
Henry,19382
Tama,19049
Clay,19044
Jackson,18311
Jefferson,18219
Mahaska,18009
Dickinson,17765
Washington,17655
Benton,17255
Page,16734
Crawford,16109
Hamilton,15835
Floyd,15742
Hardin,15339
Madison,15296
Jones,14961
Buchanan,14928
Mills,13860
Cedar,13822
Kossuth,13665
Clayton,13499
Shelby,13055
Iowa,12994
Wright,12849
Allamakee,12768
O'Brien,12366
Delaware,11788
Union,11757
Clarke,11222
Emmet,11116
Grundy,11093
Cherokee,11084
Out of State,10795
Appanoose,10500
Greene,10339
Mitchell,10034
Guthrie,9910
Winnebago,9562
Humboldt,9343
Davis,8957
Calhoun,8902
Louisa,8642
Montgomery,8481
Butler,8115
Franklin,8046
Lucas,8036
Harrison,7752
Palo Alto,7621
Monroe,7402
Hancock,7346
Sac,6986
Wayne,6883
Lyon,6730
Decatur,6538
Chickasaw,6411
Howard,5434
Adair,5116
Monona,5036
Taylor,4881
Ringgold,4752
Audubon,4388
Pocahontas,4378
Ida,4116
Adams,3823
Worth,3778
Fremont,3588
Keokuk,3537
Osceola,3461
Van Buren,3234
