County,Vaccinations Completed
Polk,276329
Linn,129270
Johnson,93157
Scott,79375
Black Hawk,67908
Dubuque,54296
Story,53633
Dallas,52626
Woodbury,45994
Pottawattamie,41864
Warren,26245
Cerro Gordo,23231
Muscatine,22050
Marshall,21551
Clinton,21142
Jasper,18672
Webster,17731
Des Moines,16974
Marion,15116
Boone,14818
Wapello,14783
Lee,14276
Bremer,13199
Benton,12874
Sioux,12611
Plymouth,11429
Buena Vista,11047
Winneshiek,10907
Carroll,10881
Washington,10826
Jones,10752
Buchanan,10032
Cedar,9756
Poweshiek,9409
Fayette,9407
Henry,9320
Jackson,9115
Iowa,8904
Tama,8867
Dickinson,8796
Mahaska,8321
Hardin,8214
Hamilton,8089
Delaware,8055
Crawford,7682
Jefferson,7663
Madison,7629
Butler,7466
Clay,7401
Floyd,7372
Clayton,7364
Kossuth,6910
Page,6847
Grundy,6677
Cass,6544
Mills,6513
Wright,6352
O'Brien,6107
Shelby,5912
Harrison,5890
Allamakee,5824
Chickasaw,5704
Guthrie,5526
Union,5409
Cherokee,5307
Calhoun,5030
Appanoose,4997
Louisa,4930
Montgomery,4748
Winnebago,4743
Franklin,4706
Hancock,4657
Mitchell,4616
Greene,4489
Sac,4487
Clarke,4395
Humboldt,4186
Keokuk,4116
Howard,4083
Emmet,4051
Monona,3946
Palo Alto,3934
Lyon,3690
Lucas,3408
Worth,3362
Adair,3126
Monroe,3115
Pocahontas,3097
Ida,2921
Audubon,2854
Davis,2843
Fremont,2748
Decatur,2726
Van Buren,2545
Taylor,2474
Osceola,2398
Wayne,2353
Ringgold,2223
Adams,1676
.,37
