County of Vaccine Provider,Vaccinations Completed
Polk,288924
Linn,138892
Johnson,98848
Scott,92441
Black Hawk,78794
Dubuque,65716
Story,56233
Pottawattamie,53029
Woodbury,52897
Dallas,50571
Cerro Gordo,29111
Muscatine,20499
Des Moines,20446
Webster,19824
Clinton,19776
Warren,19134
Marshall,18392
Marion,17139
Jasper,15939
Lee,15370
Bremer,14781
Wapello,14221
Sioux,13548
Boone,12497
Buena Vista,12078
Carroll,11708
Fayette,11526
Cass,11026
Plymouth,10593
Henry,10093
Poweshiek,10092
Winneshiek,9915
Tama,9497
Clay,8997
Jefferson,8929
Jackson,8846
Mahaska,8595
Washington,8467
Benton,8422
Dickinson,8387
Crawford,8221
Page,8098
Floyd,8087
Hardin,7901
Hamilton,7700
Jones,7565
Madison,7397
Buchanan,7213
Wright,7061
Clayton,6823
Cedar,6764
Kossuth,6755
Mills,6610
Iowa,6543
Shelby,6309
Allamakee,6081
O'Brien,6017
Clarke,5968
Delaware,5877
Union,5617
Grundy,5397
Cherokee,5366
Out of State,5336
Emmet,5263
Greene,5117
Davis,5112
Appanoose,5026
Louisa,4941
Guthrie,4889
Mitchell,4878
Winnebago,4692
Humboldt,4579
Calhoun,4418
Montgomery,4151
Butler,4061
Lucas,3998
Franklin,3951
Hancock,3897
Harrison,3768
Monroe,3710
Palo Alto,3673
Wayne,3433
Sac,3386
Chickasaw,3282
Lyon,3242
Decatur,3118
Adair,2648
Howard,2597
Monona,2489
Taylor,2352
Ringgold,2223
Ida,2192
Pocahontas,2178
Audubon,2175
Worth,1806
Osceola,1775
Keokuk,1759
Fremont,1759
Adams,1744
Van Buren,1611
