County of Vaccine Provider,Number of Doses
Polk,845403
Linn,399315
Johnson,291569
Scott,270126
Black Hawk,216871
Dubuque,185249
Story,162571
Dallas,156015
Woodbury,146178
Pottawattamie,146044
Cerro Gordo,81002
Des Moines,58075
Clinton,57620
Webster,55087
Warren,54460
Muscatine,53761
Marshall,51941
Jasper,43334
Marion,43253
Lee,41713
Bremer,41690
Wapello,39475
Sioux,34428
Carroll,33496
Boone,33082
Winneshiek,32006
Buena Vista,30870
Fayette,30442
Poweshiek,28805
Cass,28720
Washington,26725
Henry,26102
Plymouth,25721
Clay,25346
Jackson,25309
Tama,24233
Dickinson,24175
Jefferson,24091
Mahaska,24030
Benton,23218
Page,23046
Floyd,21748
Jones,21673
Crawford,21383
Hardin,20916
Hamilton,20503
Buchanan,19661
Madison,19397
Cedar,18465
Kossuth,18088
Mills,17657
Shelby,17654
Wright,17442
Clayton,17282
Iowa,16951
Delaware,16844
O'Brien,16705
Allamakee,16623
Union,16376
Grundy,15341
Cherokee,15044
Clarke,14727
Appanoose,14325
Emmet,14163
Guthrie,13891
Mitchell,13604
Winnebago,13336
Greene,13189
Montgomery,12064
Humboldt,11948
Out of State,11898
Davis,11471
Calhoun,11443
Louisa,11386
Franklin,10733
Lucas,10478
Palo Alto,10330
Harrison,10241
Butler,10171
Monroe,9623
Lyon,9494
Hancock,9355
Sac,8915
Chickasaw,8605
Wayne,8548
Decatur,8310
Howard,7965
Adair,6935
Monona,6868
Ringgold,6735
Taylor,6372
Pocahontas,5791
Ida,5328
Audubon,5189
Worth,5055
Adams,5010
Fremont,4703
Keokuk,4698
Osceola,4573
Van Buren,4295
