County of Vaccine Provider,Number of Doses
Polk,599886
Linn,280667
Johnson,201936
Scott,191265
Black Hawk,160660
Dubuque,134222
Story,113726
Pottawattamie,108991
Woodbury,108094
Dallas,102888
Cerro Gordo,59499
Des Moines,43047
Webster,41029
Clinton,40524
Warren,38882
Muscatine,37787
Marshall,35944
Jasper,32022
Marion,31777
Lee,30531
Bremer,29473
Wapello,29375
Sioux,26033
Boone,25186
Carroll,23285
Fayette,22978
Cass,22581
Buena Vista,22466
Poweshiek,20545
Winneshiek,20051
Plymouth,19228
Henry,19067
Tama,18898
Clay,18718
Jackson,18062
Jefferson,17973
Mahaska,17693
Dickinson,17387
Washington,17325
Benton,17049
Page,16406
Crawford,15834
Hamilton,15615
Floyd,15491
Hardin,15140
Madison,15140
Jones,14759
Buchanan,14692
Mills,13731
Cedar,13633
Kossuth,13522
Clayton,13409
Iowa,12882
Shelby,12882
Wright,12659
Allamakee,12629
O'Brien,12166
Delaware,11524
Union,11522
Clarke,11037
Cherokee,10900
Emmet,10877
Grundy,10822
Out of State,10671
Appanoose,10235
Greene,10196
Mitchell,9930
Guthrie,9796
Winnebago,9400
Humboldt,9254
Davis,8870
Calhoun,8825
Louisa,8493
Montgomery,8294
Butler,8069
Franklin,7959
Lucas,7937
Harrison,7680
Palo Alto,7513
Monroe,7326
Hancock,7234
Sac,6919
Wayne,6829
Lyon,6646
Decatur,6446
Chickasaw,6363
Howard,5331
Adair,5077
Monona,4952
Taylor,4834
Ringgold,4680
Audubon,4357
Pocahontas,4322
Ida,4064
Adams,3769
Worth,3710
Fremont,3526
Keokuk,3502
Osceola,3423
Van Buren,3211
