County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,62172,155220,7182,380155
Linn,25619,81057,6835,193214
Johnson,15722,64451,2946,147310
Story,14206,30527,1557,76193
Scott,12887,57698,4038,133558
Black Hawk,11443,49369,4630,115093
Dallas,11031,26875,1494,65205
Dubuque,9504,45854,1311,102377
Pottawattamie,7028,32577,4293,77443
Woodbury,5058,34225,3459,76554
Warren,4422,11663,554,28049
Marshall,4187,7961,2517,22571
Cerro Gordo,4175,18785,1228,43019
Clinton,3784,10852,1072,26629
Jasper,3254,9270,535,22089
Muscatine,3198,9060,4107,25523
Webster,2928,12892,842,29771
Des Moines,2782,13868,565,31085
Bremer,2196,9322,955,21771
Marion,2194,9023,3717,24042
Boone,2190,8126,320,18680
Wapello,2075,8825,437,20227
Lee,1979,8960,1191,21341
Iowa,1711,3748,477,9685
Carroll,1695,7379,792,17317
Jones,1694,4023,605,10391
Tama,1685,5504,942,13551
Henry,1642,5185,656,12735
Mahaska,1624,5269,280,12479
Poweshiek,1620,6645,170,14998
Winneshiek,1611,5586,674,13495
Madison,1578,4992,105,11664
Sioux,1562,7701,2356,19333
Page,1555,4973,627,12143
Jackson,1533,5995,133,13640
Washington,1475,5070,401,12027
Cass,1328,8472,252,18681
Benton,1223,5890,363,13369
Hamilton,1219,5259,339,12176
Floyd,1205,4699,745,11350
Fayette,1194,8458,819,18942
Buena Vista,1162,5020,3160,14464
Mills,1100,4131,92,9463
Union,1053,3480,139,8024
Jefferson,1022,5635,754,13056
Dickinson,1014,6116,135,13398
Cedar,1009,4856,201,10900
Hardin,968,4755,1176,11677
Buchanan,949,4904,190,10938
Guthrie,859,3141,174,7317
Emmet,834,3980,297,9177
Crawford,827,4750,1458,11804
Plymouth,795,5761,2793,15141
Harrison,787,2588,187,6154
Grundy,757,3594,207,8160
Delaware,744,3435,617,8223
Clarke,733,3152,1274,8300
Kossuth,720,4840,376,10807
Shelby,703,4733,55,10274
Lucas,696,2522,319,6100
Wright,686,3747,1492,9648
O'Brien,684,4203,225,9324
Clay,681,7027,76,14777
Butler,677,3114,103,7013
Clayton,669,5276,589,11821
Winnebago,668,3008,392,7095
Calhoun,646,3451,121,7689
Cherokee,631,3772,173,8350
Greene,627,3589,352,8190
Allamakee,588,4881,47,10385
Appanoose,538,3547,409,8101
Montgomery,536,2511,505,6085
Hancock,522,2368,566,5823
Lyon,513,2412,25,5358
Howard,510,1512,87,3610
Franklin,479,2854,186,6378
Sac,470,2806,0,6089
Wayne,469,2473,338,5813
Chickasaw,462,2245,298,5245
Humboldt,422,3389,316,7644
Mitchell,392,3812,64,8093
Pocahontas,388,1432,130,3383
Monona,373,1567,105,3599
Louisa,367,2756,1493,7347
Palo Alto,364,2805,88,6096
Decatur,357,2456,105,5435
Monroe,356,2580,199,5734
Davis,314,2807,1595,7532
Worth,311,1354,0,3016
Ringgold,280,1724,0,3756
Out of State,257,4254,0,8422
Keokuk,247,1274,100,2896
Taylor,223,1942,0,4130
Adair,222,1863,280,4186
Fremont,219,1341,73,2976
Audubon,214,1717,100,3745
Adams,201,1479,1,3303
Van Buren,193,1254,69,2770
Osceola,186,1250,125,2811
Ida,151,1371,426,3319
