County of Vaccine Provider,Number of Doses
Polk,581496
Linn,273660
Johnson,198239
Scott,185376
Black Hawk,155650
Dubuque,131541
Story,110554
Pottawattamie,105854
Woodbury,104120
Dallas,99850
Cerro Gordo,57813
Des Moines,41721
Webster,39818
Clinton,39165
Warren,38078
Muscatine,36697
Marshall,34453
Jasper,31241
Marion,30956
Lee,29531
Bremer,28669
Wapello,28296
Sioux,25049
Boone,24708
Carroll,22673
Fayette,22472
Cass,22219
Buena Vista,20977
Poweshiek,20065
Winneshiek,19235
Plymouth,18643
Tama,18591
Henry,18521
Clay,18180
Jackson,17614
Jefferson,17396
Mahaska,17090
Dickinson,16929
Washington,16758
Benton,16714
Page,15936
Hamilton,15335
Crawford,15280
Floyd,15126
Madison,14919
Hardin,14785
Jones,14402
Buchanan,14267
Mills,13540
Cedar,13402
Kossuth,13301
Clayton,13210
Shelby,12614
Iowa,12536
Wright,12392
Allamakee,12328
O'Brien,11829
Union,11150
Delaware,11100
Clarke,10793
Emmet,10679
Out of State,10627
Grundy,10613
Cherokee,10560
Greene,9977
Appanoose,9931
Mitchell,9709
Guthrie,9648
Winnebago,9113
Humboldt,9090
Davis,8711
Calhoun,8673
Louisa,8369
Butler,8032
Montgomery,8022
Lucas,7810
Franklin,7786
Harrison,7535
Palo Alto,7305
Monroe,7197
Hancock,7095
Sac,6800
Wayne,6699
Lyon,6457
Decatur,6374
Chickasaw,6273
Howard,5092
Adair,4998
Monona,4803
Taylor,4772
Ringgold,4564
Audubon,4293
Pocahontas,4236
Ida,3970
Adams,3703
Worth,3646
Fremont,3490
Keokuk,3454
Osceola,3357
Van Buren,3137
