County,Vaccinations Completed
Polk,300536
Linn,138532
Johnson,99916
Scott,86028
Black Hawk,73305
Dubuque,57613
Story,57507
Dallas,57377
Woodbury,50026
Pottawattamie,45011
Warren,28462
Cerro Gordo,24821
Muscatine,23895
Marshall,23598
Clinton,22586
Jasper,20341
Webster,19044
Des Moines,18414
Marion,16440
Wapello,16098
Boone,15667
Lee,15323
Bremer,14080
Benton,13823
Sioux,13576
Plymouth,12355
Buena Vista,12320
Winneshiek,11754
Carroll,11561
Washington,11544
Jones,11348
Buchanan,10694
Cedar,10367
Poweshiek,10206
Henry,10098
Fayette,10067
Jackson,9658
Tama,9546
Iowa,9536
Dickinson,9272
Mahaska,9047
Hardin,8802
Delaware,8705
Hamilton,8668
Crawford,8338
Madison,8188
Jefferson,8174
Clay,7935
Butler,7882
Floyd,7871
Clayton,7737
Page,7365
Kossuth,7263
Grundy,7096
Cass,6972
Mills,6859
Wright,6728
O'Brien,6535
Allamakee,6258
Shelby,6237
Harrison,6203
Chickasaw,6113
Union,5872
Guthrie,5818
Cherokee,5630
Appanoose,5421
Calhoun,5400
Louisa,5340
Winnebago,5086
Montgomery,5084
Franklin,5075
Hancock,4957
Mitchell,4929
Greene,4855
Sac,4830
Clarke,4785
Humboldt,4489
Emmet,4439
Keokuk,4407
Howard,4362
Palo Alto,4217
Monona,4203
Lyon,3944
Lucas,3697
Worth,3612
Adair,3379
Monroe,3335
Pocahontas,3302
Ida,3186
Davis,3064
Audubon,3018
Decatur,2943
Fremont,2878
Van Buren,2807
Taylor,2658
Wayne,2531
Osceola,2526
Ringgold,2412
Adams,1846
.,66
