County,Vaccinations Completed
Polk,291899
Linn,135412
Johnson,96057
Scott,84093
Black Hawk,71854
Dubuque,56233
Story,55903
Dallas,55308
Woodbury,49100
Pottawattamie,44259
Warren,27689
Cerro Gordo,24413
Muscatine,23427
Marshall,23160
Clinton,22274
Jasper,19955
Webster,18779
Des Moines,18096
Marion,16155
Wapello,15863
Boone,15413
Lee,15142
Bremer,13817
Benton,13518
Sioux,13436
Plymouth,12158
Buena Vista,12140
Winneshiek,11485
Washington,11367
Carroll,11366
Jones,11212
Buchanan,10572
Cedar,10187
Fayette,9944
Poweshiek,9943
Henry,9928
Jackson,9549
Tama,9446
Iowa,9399
Dickinson,9151
Mahaska,8892
Hardin,8652
Delaware,8550
Hamilton,8488
Crawford,8244
Madison,8064
Jefferson,8046
Clay,7801
Butler,7786
Floyd,7727
Clayton,7664
Page,7297
Kossuth,7204
Grundy,7020
Cass,6840
Mills,6787
Wright,6637
O'Brien,6471
Allamakee,6180
Shelby,6170
Harrison,6154
Chickasaw,6030
Guthrie,5768
Union,5768
Cherokee,5587
Calhoun,5327
Appanoose,5319
Louisa,5283
Winnebago,5022
Franklin,5018
Montgomery,5014
Hancock,4902
Mitchell,4867
Sac,4784
Greene,4773
Clarke,4673
Humboldt,4397
Keokuk,4360
Emmet,4359
Howard,4334
Monona,4168
Palo Alto,4166
Lyon,3910
Lucas,3638
Worth,3571
Adair,3293
Pocahontas,3273
Monroe,3268
Ida,3140
Davis,3010
Audubon,2997
Decatur,2899
Fremont,2850
Van Buren,2764
Taylor,2611
Osceola,2507
Wayne,2496
Ringgold,2362
Adams,1802
.,68
