County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,67680,100346,3760,273409
Linn,29875,54750,5706,143983
Scott,21619,39043,2331,102934
Johnson,20019,46636,2111,115846
Dubuque,17104,30951,837,79781
Black Hawk,16225,35278,3909,90962
Dallas,14250,14201,1101,43094
Woodbury,11712,22995,2502,59758
Pottawattamie,11470,23303,4160,63136
Story,11073,21149,808,54050
Cerro Gordo,6205,14355,1045,35885
Webster,5967,8334,582,23219
Clinton,5583,7109,962,20788
Warren,5031,7824,239,20615
Des Moines,4661,10399,440,25756
Marion,4343,5696,3534,19244
Muscatine,3949,6142,3690,19942
Fayette,3854,5061,305,14252
Jasper,3792,6663,271,17138
Bremer,3590,6857,527,17794
Marshall,3561,5516,1845,16400
Boone,3449,5397,201,14393
Lee,3399,6486,1089,17632
Carroll,3354,4612,700,13288
Cass,3253,6137,195,15749
Wapello,3230,6220,262,15939
Poweshiek,2993,3929,101,10858
Jefferson,2788,3087,722,9690
Sioux,2653,5699,2268,16322
Winneshiek,2610,3516,311,9968
Dickinson,2490,4058,85,10683
Washington,2383,3225,316,9144
Hamilton,2343,3094,299,8847
Henry,2318,3441,302,9511
Madison,2292,3306,78,8982
Mahaska,2286,3639,189,9748
Plymouth,2221,4027,2550,12823
Page,2217,3388,198,9176
Greene,2047,1740,230,5754
Mills,2003,2748,85,7590
Clay,2002,5278,25,12514
Iowa,1995,3101,454,8645
Tama,1976,4117,756,10873
Humboldt,1969,1682,315,5665
Kossuth,1961,3260,235,8703
Buchanan,1935,3488,187,9084
Jackson,1911,4751,122,11517
Benton,1891,3946,262,10051
Crawford,1867,3155,1452,9615
Hardin,1841,3301,886,9312
Clayton,1794,3824,432,9864
Cedar,1782,3550,201,9073
Shelby,1779,3018,33,7846
Floyd,1717,3339,416,8790
Union,1642,2258,72,6224
Appanoose,1556,2374,341,6630
Wright,1515,2490,1433,7907
O'Brien,1497,3006,21,7538
Jones,1486,2778,557,7638
Guthrie,1467,2098,174,5824
Cherokee,1447,2575,125,6716
Buena Vista,1412,3732,3093,12044
Winnebago,1341,1949,385,5633
Decatur,1286,1461,105,4284
Grundy,1278,2575,116,6547
Franklin,1278,1886,146,5190
Lucas,1267,1593,273,4715
Delaware,1238,2501,190,6423
Wayne,1217,1657,332,4863
Allamakee,1177,3984,0,9131
Davis,1125,1750,1572,6188
Emmet,1095,2756,294,6964
Calhoun,1070,2609,97,6382
Clarke,1037,2501,1214,7231
Harrison,1036,1882,14,4813
Sac,1032,2006,0,5045
Monroe,1005,1728,199,4653
Montgomery,983,1682,499,4839
Louisa,967,1868,1488,6172
Mitchell,919,2963,0,6850
Lyon,889,1737,10,4369
Butler,819,2629,50,6130
Palo Alto,805,2149,0,5134
Adams,765,993,0,2754
Chickasaw,754,1734,298,4516
Hancock,700,1864,512,4937
Adair,671,1232,153,3271
Ringgold,638,1237,0,3125
Taylor,593,1468,0,3528
Howard,587,1158,87,2986
Audubon,482,1346,94,3268
Fremont,478,1016,36,2547
Monona,424,1264,2,2939
Keokuk,416,975,100,2467
Worth,414,1050,0,2510
Van Buren,409,863,7,2141
Osceola,389,938,120,2386
Pocahontas,388,1101,130,2719
Ida,328,1092,279,2793
Out of State,259,4255,0,8394
