County of Vaccine Provider,Number of Doses
Polk,757192
Linn,360754
Johnson,263774
Scott,242913
Black Hawk,199105
Dubuque,170493
Story,144622
Dallas,136710
Woodbury,133595
Pottawattamie,132418
Cerro Gordo,74181
Des Moines,53795
Clinton,51777
Webster,51146
Warren,49879
Muscatine,47822
Marshall,45920
Jasper,40261
Marion,39273
Bremer,38028
Lee,37979
Wapello,36009
Sioux,31143
Boone,30597
Carroll,30229
Fayette,28302
Winneshiek,28032
Buena Vista,27681
Cass,27081
Poweshiek,26305
Henry,24219
Washington,24196
Plymouth,23547
Clay,23290
Jackson,22856
Tama,22329
Jefferson,22117
Dickinson,22067
Mahaska,22043
Benton,21273
Page,20956
Floyd,20097
Crawford,19462
Jones,19402
Hardin,19247
Hamilton,19178
Buchanan,18040
Madison,17871
Cedar,16899
Kossuth,16513
Mills,16459
Shelby,16192
Wright,16058
Clayton,15998
Iowa,15755
Allamakee,15380
O'Brien,15266
Delaware,15250
Union,14931
Grundy,14044
Cherokee,13927
Clarke,13641
Emmet,13264
Appanoose,13163
Guthrie,12889
Mitchell,12588
Greene,12429
Winnebago,12122
Out of State,11651
Humboldt,11075
Montgomery,10848
Calhoun,10837
Davis,10696
Louisa,10504
Lucas,9938
Franklin,9787
Palo Alto,9608
Butler,9555
Monroe,8998
Harrison,8806
Lyon,8798
Hancock,8783
Sac,8536
Wayne,8077
Chickasaw,7993
Decatur,7861
Howard,6817
Adair,6482
Monona,6325
Ringgold,6289
Taylor,5936
Pocahontas,5348
Ida,4857
Audubon,4832
Worth,4763
Adams,4651
Fremont,4432
Keokuk,4395
Osceola,4245
Van Buren,4060
