County of Vaccine Provider,Vaccinations Completed
Polk,307156
Linn,145958
Johnson,102301
Scott,98423
Black Hawk,83415
Dubuque,68230
Story,58632
Woodbury,56851
Pottawattamie,55803
Dallas,53404
Cerro Gordo,30769
Des Moines,21841
Muscatine,21751
Clinton,21123
Webster,21033
Warren,20037
Marshall,19964
Marion,17957
Jasper,16764
Lee,16343
Bremer,15582
Wapello,15343
Sioux,14514
Buena Vista,13406
Boone,12907
Carroll,12420
Fayette,12018
Cass,11405
Plymouth,11127
Winneshiek,10712
Henry,10640
Poweshiek,10584
Tama,9858
Clay,9485
Jefferson,9422
Jackson,9286
Mahaska,9158
Washington,9035
Dickinson,8787
Benton,8774
Crawford,8757
Page,8601
Floyd,8456
Hardin,8248
Hamilton,7999
Jones,7914
Madison,7649
Buchanan,7614
Wright,7342
Cedar,7049
Clayton,7032
Kossuth,6987
Mills,6813
Iowa,6811
Shelby,6550
O'Brien,6372
Delaware,6335
Allamakee,6334
Clarke,6216
Union,6018
Grundy,5758
Cherokee,5683
Out of State,5600
Emmet,5575
Appanoose,5363
Greene,5343
Louisa,5335
Davis,5284
Mitchell,5102
Guthrie,5065
Winnebago,4982
Humboldt,4750
Calhoun,4557
Montgomery,4405
Lucas,4150
Franklin,4144
Butler,4124
Hancock,4069
Harrison,3919
Palo Alto,3875
Monroe,3851
Wayne,3556
Sac,3518
Lyon,3413
Chickasaw,3406
Decatur,3226
Howard,2829
Adair,2742
Monona,2653
Taylor,2432
Ringgold,2345
Ida,2299
Pocahontas,2271
Audubon,2243
Worth,1887
Adams,1841
Osceola,1840
Keokuk,1829
Fremont,1816
Van Buren,1703
