County of Vaccine Provider,Vaccinations Completed
Polk,301776
Linn,143939
Johnson,101238
Scott,96561
Black Hawk,82380
Dubuque,67489
Story,57932
Woodbury,55689
Pottawattamie,55013
Dallas,52606
Cerro Gordo,30211
Des Moines,21442
Muscatine,21325
Clinton,20759
Webster,20748
Warren,19767
Marshall,19658
Marion,17737
Jasper,16571
Lee,16053
Bremer,15341
Wapello,15060
Sioux,14294
Buena Vista,13187
Boone,12786
Carroll,12138
Fayette,11877
Cass,11292
Plymouth,10996
Henry,10492
Winneshiek,10474
Poweshiek,10442
Tama,9701
Clay,9347
Jefferson,9301
Jackson,9172
Mahaska,9014
Washington,8865
Benton,8672
Crawford,8644
Dickinson,8637
Page,8433
Floyd,8356
Hardin,8149
Hamilton,7914
Jones,7819
Madison,7586
Buchanan,7495
Wright,7281
Clayton,6958
Cedar,6948
Kossuth,6911
Mills,6741
Iowa,6735
Shelby,6483
O'Brien,6279
Allamakee,6272
Delaware,6182
Clarke,6142
Union,5906
Grundy,5705
Cherokee,5600
Emmet,5455
Out of State,5408
Greene,5288
Appanoose,5274
Davis,5221
Louisa,5096
Mitchell,5042
Guthrie,5018
Winnebago,4909
Humboldt,4694
Calhoun,4515
Montgomery,4345
Lucas,4109
Butler,4100
Franklin,4086
Hancock,4010
Harrison,3869
Monroe,3812
Palo Alto,3808
Wayne,3517
Sac,3480
Chickasaw,3365
Lyon,3360
Decatur,3190
Howard,2787
Adair,2709
Monona,2612
Taylor,2403
Ringgold,2313
Ida,2270
Pocahontas,2242
Audubon,2231
Worth,1860
Osceola,1819
Keokuk,1804
Fremont,1802
Adams,1801
Van Buren,1663
