County of Vaccine Provider,Number of Doses
Polk,770304
Linn,367159
Johnson,268670
Scott,247302
Black Hawk,201785
Dubuque,172960
Story,147343
Dallas,139843
Woodbury,135045
Pottawattamie,134346
Cerro Gordo,75430
Des Moines,54468
Clinton,52493
Webster,51692
Warren,50523
Muscatine,48687
Marshall,46972
Jasper,40853
Marion,40075
Bremer,38600
Lee,38523
Wapello,36892
Sioux,31552
Boone,31058
Carroll,30854
Winneshiek,29039
Fayette,28571
Buena Vista,28071
Cass,27322
Poweshiek,26783
Washington,24745
Henry,24533
Plymouth,23806
Clay,23570
Jackson,23245
Tama,22553
Jefferson,22422
Dickinson,22363
Mahaska,22233
Benton,21633
Page,21152
Floyd,20321
Crawford,19774
Jones,19709
Hardin,19566
Hamilton,19431
Buchanan,18295
Madison,18271
Cedar,17255
Kossuth,16832
Mills,16589
Shelby,16443
Wright,16303
Clayton,16272
Iowa,15972
Allamakee,15714
O'Brien,15498
Delaware,15439
Union,15187
Grundy,14247
Cherokee,14087
Clarke,13777
Emmet,13412
Appanoose,13348
Guthrie,13128
Mitchell,12793
Greene,12558
Winnebago,12342
Out of State,11695
Humboldt,11184
Montgomery,11037
Calhoun,11003
Davis,10844
Louisa,10662
Lucas,9975
Franklin,9917
Palo Alto,9681
Butler,9681
Harrison,9171
Monroe,9119
Hancock,8881
Lyon,8856
Sac,8553
Wayne,8197
Chickasaw,8024
Decatur,7883
Howard,6884
Adair,6532
Monona,6406
Ringgold,6370
Taylor,6045
Pocahontas,5482
Ida,4950
Audubon,4886
Worth,4833
Adams,4729
Fremont,4466
Keokuk,4454
Osceola,4353
Van Buren,4117
