County of Vaccine Provider,Number of Doses
Polk,596830
Linn,279390
Johnson,201245
Scott,190072
Black Hawk,159642
Dubuque,133731
Story,113335
Pottawattamie,108408
Woodbury,107376
Dallas,102419
Cerro Gordo,59194
Des Moines,42746
Webster,40810
Clinton,40236
Warren,38742
Muscatine,37642
Marshall,35696
Jasper,31822
Marion,31611
Lee,30328
Bremer,29334
Wapello,29149
Sioux,25851
Boone,25114
Carroll,23182
Fayette,22903
Cass,22530
Buena Vista,22265
Poweshiek,20472
Winneshiek,19884
Plymouth,19122
Henry,18967
Tama,18855
Clay,18651
Jackson,17994
Jefferson,17764
Mahaska,17595
Dickinson,17286
Washington,17218
Benton,16994
Page,16319
Crawford,15712
Hamilton,15566
Floyd,15442
Madison,15108
Hardin,15092
Jones,14699
Buchanan,14619
Mills,13698
Cedar,13579
Kossuth,13496
Clayton,13360
Shelby,12826
Iowa,12773
Wright,12626
Allamakee,12579
O'Brien,12094
Union,11454
Delaware,11454
Clarke,10990
Cherokee,10847
Emmet,10839
Grundy,10785
Out of State,10662
Appanoose,10173
Greene,10164
Mitchell,9902
Guthrie,9769
Winnebago,9340
Humboldt,9234
Davis,8840
Calhoun,8797
Louisa,8462
Montgomery,8249
Butler,8061
Franklin,7932
Lucas,7905
Harrison,7652
Palo Alto,7481
Monroe,7301
Hancock,7209
Sac,6891
Wayne,6808
Lyon,6605
Decatur,6436
Chickasaw,6343
Howard,5292
Adair,5059
Monona,4934
Taylor,4818
Ringgold,4666
Audubon,4344
Pocahontas,4306
Ida,4034
Adams,3754
Worth,3701
Fremont,3523
Keokuk,3497
Osceola,3396
Van Buren,3200
