County of Vaccine Provider,Vaccinations Completed
Polk,282015
Linn,136517
Johnson,97484
Scott,90297
Black Hawk,76924
Dubuque,64570
Story,54420
Pottawattamie,51831
Woodbury,51323
Dallas,49250
Cerro Gordo,28312
Muscatine,19959
Des Moines,19918
Webster,19401
Clinton,19306
Warren,18801
Marshall,17951
Marion,16861
Jasper,15657
Lee,14985
Bremer,14459
Wapello,13847
Sioux,13250
Boone,12285
Buena Vista,11544
Carroll,11454
Fayette,11306
Cass,10900
Plymouth,10401
Poweshiek,9912
Henry,9850
Winneshiek,9661
Tama,9382
Clay,8801
Jefferson,8730
Jackson,8667
Mahaska,8382
Benton,8292
Washington,8253
Dickinson,8241
Crawford,8047
Page,7926
Floyd,7922
Hardin,7778
Hamilton,7561
Jones,7431
Madison,7319
Buchanan,7025
Wright,6910
Clayton,6758
Cedar,6697
Kossuth,6659
Mills,6519
Iowa,6448
Shelby,6189
Allamakee,5981
O'Brien,5897
Clarke,5855
Delaware,5713
Union,5497
Out of State,5331
Grundy,5304
Cherokee,5224
Emmet,5174
Davis,5066
Greene,5046
Appanoose,4896
Louisa,4870
Guthrie,4828
Mitchell,4779
Winnebago,4618
Humboldt,4505
Calhoun,4352
Montgomery,4053
Butler,4040
Lucas,3933
Franklin,3896
Hancock,3821
Harrison,3673
Monroe,3667
Palo Alto,3601
Wayne,3378
Sac,3346
Chickasaw,3235
Lyon,3193
Decatur,3068
Adair,2613
Howard,2516
Monona,2438
Taylor,2325
Ringgold,2188
Ida,2172
Audubon,2160
Pocahontas,2145
Worth,1785
Osceola,1753
Keokuk,1745
Fremont,1745
Adams,1709
Van Buren,1583
