County of Vaccine Provider,Number of Doses
Polk,617332
Linn,287803
Johnson,206598
Scott,199102
Black Hawk,164823
Dubuque,137274
Story,116224
Woodbury,112530
Pottawattamie,112301
Dallas,105735
Cerro Gordo,61099
Des Moines,44535
Clinton,42286
Webster,42078
Warren,39857
Muscatine,39226
Marshall,37354
Jasper,32736
Marion,32513
Lee,31772
Wapello,30370
Bremer,30264
Sioux,26775
Boone,25626
Carroll,23975
Buena Vista,23468
Fayette,23422
Cass,22978
Poweshiek,21178
Winneshiek,20936
Plymouth,19716
Henry,19552
Clay,19298
Tama,19251
Jackson,18446
Jefferson,18384
Mahaska,18188
Dickinson,18027
Washington,17881
Benton,17355
Page,16962
Crawford,16245
Hamilton,15966
Floyd,15897
Hardin,15472
Madison,15356
Jones,15080
Buchanan,15048
Mills,13959
Cedar,13933
Kossuth,13751
Clayton,13589
Shelby,13138
Iowa,13078
Wright,12935
Allamakee,12848
O'Brien,12472
Delaware,11953
Union,11895
Clarke,11312
Emmet,11236
Cherokee,11198
Grundy,11153
Out of State,11094
Appanoose,10625
Greene,10400
Mitchell,10113
Guthrie,9976
Winnebago,9655
Humboldt,9408
Davis,9030
Louisa,8963
Calhoun,8940
Montgomery,8567
Butler,8145
Franklin,8111
Lucas,8090
Harrison,7811
Palo Alto,7709
Monroe,7456
Hancock,7396
Sac,7039
Wayne,6935
Lyon,6903
Decatur,6581
Chickasaw,6451
Howard,5493
Adair,5144
Monona,5079
Taylor,4912
Ringgold,4786
Pocahontas,4416
Audubon,4400
Ida,4133
Adams,3852
Worth,3795
Fremont,3607
Keokuk,3577
Osceola,3482
Van Buren,3275
