County of Vaccine Provider,Number of Doses
Polk,816733
Linn,386492
Johnson,281885
Scott,260444
Black Hawk,210596
Dubuque,180419
Story,156310
Dallas,149294
Woodbury,141242
Pottawattamie,141085
Cerro Gordo,78801
Des Moines,56450
Clinton,55644
Webster,53739
Warren,52871
Muscatine,51948
Marshall,49759
Jasper,42280
Marion,41960
Bremer,40460
Lee,40314
Wapello,38361
Sioux,33171
Carroll,32385
Boone,32233
Winneshiek,30873
Fayette,29710
Buena Vista,29541
Cass,28122
Poweshiek,28060
Washington,25911
Henry,25404
Plymouth,24939
Clay,24610
Jackson,24566
Dickinson,23549
Jefferson,23539
Tama,23456
Mahaska,23195
Page,22453
Benton,22449
Floyd,21151
Jones,20939
Crawford,20759
Hardin,20398
Hamilton,20080
Buchanan,19074
Madison,18902
Cedar,18001
Kossuth,17516
Shelby,17202
Mills,17192
Wright,16960
Clayton,16662
Iowa,16588
Delaware,16264
Allamakee,16243
O'Brien,16231
Union,15863
Grundy,14843
Cherokee,14653
Clarke,14309
Appanoose,13870
Emmet,13801
Guthrie,13573
Mitchell,13244
Winnebago,13015
Greene,12940
Out of State,11807
Humboldt,11698
Montgomery,11604
Calhoun,11246
Davis,11175
Louisa,11009
Franklin,10399
Lucas,10269
Palo Alto,10028
Butler,9975
Harrison,9859
Monroe,9413
Lyon,9262
Hancock,9163
Sac,8779
Wayne,8419
Chickasaw,8389
Decatur,8108
Howard,7705
Adair,6773
Monona,6633
Ringgold,6557
Taylor,6238
Pocahontas,5660
Ida,5106
Audubon,5041
Worth,4943
Adams,4891
Keokuk,4609
Fremont,4594
Osceola,4494
Van Buren,4233
