County,Vaccinations Completed
Polk,280735
Linn,130995
Johnson,93911
Scott,80688
Black Hawk,69026
Dubuque,54861
Story,54199
Dallas,53445
Woodbury,46840
Pottawattamie,42556
Warren,26634
Cerro Gordo,23601
Muscatine,22353
Marshall,22007
Clinton,21457
Jasper,19061
Webster,18087
Des Moines,17255
Marion,15437
Wapello,15076
Boone,14986
Lee,14514
Bremer,13383
Benton,13073
Sioux,12923
Plymouth,11627
Buena Vista,11443
Winneshiek,11093
Carroll,11032
Washington,10961
Jones,10894
Buchanan,10186
Cedar,9872
Poweshiek,9555
Fayette,9553
Henry,9485
Jackson,9269
Iowa,9018
Tama,9014
Dickinson,8880
Mahaska,8476
Hardin,8354
Hamilton,8178
Delaware,8170
Crawford,7843
Jefferson,7751
Madison,7750
Butler,7572
Clay,7508
Floyd,7471
Clayton,7444
Kossuth,7002
Page,6925
Grundy,6751
Cass,6611
Mills,6596
Wright,6428
O'Brien,6204
Shelby,5976
Harrison,5966
Allamakee,5930
Chickasaw,5797
Guthrie,5608
Union,5528
Cherokee,5386
Calhoun,5096
Appanoose,5066
Louisa,5016
Montgomery,4830
Winnebago,4821
Franklin,4803
Hancock,4724
Mitchell,4721
Sac,4589
Greene,4583
Clarke,4483
Humboldt,4246
Howard,4194
Keokuk,4189
Emmet,4106
Monona,4028
Palo Alto,4013
Lyon,3747
Lucas,3447
Worth,3418
Adair,3174
Monroe,3157
Pocahontas,3151
Ida,2975
Audubon,2907
Davis,2893
Fremont,2776
Decatur,2769
Van Buren,2616
Taylor,2514
Osceola,2415
Wayne,2404
Ringgold,2265
Adams,1705
.,37
