County of Vaccine Provider,Number of Doses
Polk,621506
Linn,289303
Johnson,207710
Scott,201082
Black Hawk,165580
Dubuque,138059
Story,116786
Woodbury,113405
Pottawattamie,113051
Dallas,106360
Cerro Gordo,61600
Des Moines,44836
Clinton,42675
Webster,42301
Warren,40051
Muscatine,39595
Marshall,37598
Jasper,32878
Marion,32664
Lee,32125
Wapello,30598
Bremer,30413
Sioux,26974
Boone,25719
Carroll,24217
Buena Vista,23641
Fayette,23525
Cass,23068
Poweshiek,21351
Winneshiek,21173
Plymouth,19816
Henry,19672
Clay,19397
Tama,19332
Jackson,18546
Jefferson,18496
Mahaska,18329
Dickinson,18146
Washington,18008
Benton,17466
Page,17103
Crawford,16365
Hamilton,16038
Floyd,15976
Hardin,15571
Madison,15409
Jones,15170
Buchanan,15146
Mills,14026
Cedar,14017
Kossuth,13823
Clayton,13637
Shelby,13196
Iowa,13136
Wright,13001
Allamakee,12912
O'Brien,12565
Delaware,12086
Union,11985
Clarke,11374
Emmet,11290
Cherokee,11258
Out of State,11222
Grundy,11198
Appanoose,10702
Greene,10434
Mitchell,10157
Guthrie,10018
Winnebago,9746
Humboldt,9464
Davis,9067
Louisa,8994
Calhoun,8967
Montgomery,8628
Butler,8161
Franklin,8154
Lucas,8132
Harrison,7826
Palo Alto,7752
Monroe,7485
Hancock,7408
Sac,7068
Lyon,6972
Wayne,6955
Decatur,6612
Chickasaw,6485
Howard,5545
Adair,5172
Monona,5118
Taylor,4938
Ringgold,4813
Pocahontas,4439
Audubon,4408
Ida,4163
Adams,3893
Worth,3821
Fremont,3618
Keokuk,3596
Osceola,3506
Van Buren,3304
