County of Vaccine Provider,Number of Doses
Polk,587591
Linn,275734
Johnson,199401
Scott,187116
Black Hawk,157231
Dubuque,132397
Story,112073
Pottawattamie,106784
Woodbury,105345
Dallas,100884
Cerro Gordo,58353
Des Moines,42135
Webster,40187
Clinton,39590
Warren,38325
Muscatine,37145
Marshall,34914
Jasper,31379
Marion,31204
Lee,29819
Bremer,28914
Wapello,28614
Sioux,25262
Boone,24897
Carroll,22891
Fayette,22659
Cass,22336
Buena Vista,21470
Poweshiek,20217
Winneshiek,19455
Plymouth,18821
Henry,18696
Tama,18682
Clay,18343
Jackson,17754
Jefferson,17554
Mahaska,17313
Dickinson,17046
Washington,16920
Benton,16800
Page,16062
Crawford,15447
Hamilton,15436
Floyd,15252
Madison,14980
Hardin,14883
Jones,14508
Buchanan,14420
Mills,13587
Cedar,13455
Kossuth,13367
Clayton,13273
Shelby,12708
Iowa,12631
Wright,12518
Allamakee,12422
O'Brien,11936
Delaware,11256
Union,11225
Clarke,10876
Emmet,10734
Grundy,10668
Cherokee,10666
Out of State,10635
Greene,10042
Appanoose,10011
Mitchell,9775
Guthrie,9683
Winnebago,9195
Humboldt,9135
Davis,8766
Calhoun,8739
Louisa,8406
Montgomery,8119
Butler,8039
Lucas,7851
Franklin,7837
Harrison,7585
Palo Alto,7381
Monroe,7236
Hancock,7146
Sac,6821
Wayne,6746
Lyon,6513
Decatur,6387
Chickasaw,6293
Howard,5139
Adair,5022
Monona,4849
Taylor,4786
Ringgold,4597
Audubon,4302
Pocahontas,4265
Ida,3972
Adams,3723
Worth,3666
Fremont,3500
Keokuk,3467
Osceola,3380
Van Buren,3158
