County,Vaccinations Completed
Polk,266594
Linn,126017
Johnson,91370
Scott,76720
Black Hawk,65590
Dubuque,52928
Story,51770
Dallas,50746
Woodbury,44081
Pottawattamie,40126
Warren,25359
Cerro Gordo,22355
Muscatine,21384
Marshall,20849
Clinton,20357
Jasper,18022
Webster,17198
Des Moines,16304
Marion,14530
Boone,14328
Wapello,14212
Lee,13808
Bremer,12800
Benton,12415
Sioux,12195
Plymouth,10977
Winneshiek,10650
Carroll,10576
Jones,10456
Washington,10453
Buena Vista,10376
Buchanan,9639
Cedar,9490
Poweshiek,9139
Fayette,9032
Henry,8999
Jackson,8814
Iowa,8657
Dickinson,8557
Tama,8538
Mahaska,7967
Hardin,7925
Hamilton,7836
Delaware,7733
Jefferson,7408
Crawford,7398
Madison,7361
Butler,7220
Clayton,7161
Clay,7116
Floyd,7102
Kossuth,6747
Page,6647
Grundy,6479
Cass,6366
Mills,6310
Wright,6124
O'Brien,5925
Shelby,5734
Harrison,5655
Allamakee,5627
Chickasaw,5483
Guthrie,5338
Union,5254
Cherokee,5113
Calhoun,4887
Appanoose,4831
Louisa,4731
Winnebago,4648
Montgomery,4581
Franklin,4533
Hancock,4471
Mitchell,4398
Greene,4329
Sac,4327
Clarke,4218
Humboldt,4056
Keokuk,3976
Howard,3950
Emmet,3930
Palo Alto,3828
Monona,3821
Lyon,3592
Lucas,3299
Worth,3227
Monroe,3039
Adair,3026
Pocahontas,2992
Ida,2820
Audubon,2784
Davis,2778
Fremont,2672
Decatur,2639
Van Buren,2434
Taylor,2415
Osceola,2342
Wayne,2272
Ringgold,2156
Adams,1621
.,35
