County of Vaccine Provider,Number of Doses
Polk,614404
Linn,286482
Johnson,205816
Scott,197738
Black Hawk,164206
Dubuque,136729
Story,115784
Woodbury,111839
Pottawattamie,111603
Dallas,105251
Cerro Gordo,60842
Des Moines,44261
Clinton,41942
Webster,41847
Warren,39723
Muscatine,39029
Marshall,37186
Jasper,32591
Marion,32370
Lee,31569
Wapello,30233
Bremer,30089
Sioux,26673
Boone,25520
Carroll,23861
Fayette,23360
Buena Vista,23352
Cass,22899
Poweshiek,21055
Winneshiek,20781
Plymouth,19642
Henry,19478
Tama,19165
Clay,19154
Jackson,18378
Jefferson,18326
Mahaska,18108
Dickinson,17932
Washington,17768
Benton,17325
Page,16858
Crawford,16188
Hamilton,15891
Floyd,15822
Hardin,15421
Madison,15324
Jones,15026
Buchanan,14987
Mills,13907
Cedar,13887
Kossuth,13704
Clayton,13541
Shelby,13092
Iowa,13051
Wright,12884
Allamakee,12828
O'Brien,12423
Delaware,11896
Union,11826
Clarke,11274
Emmet,11177
Out of State,11154
Cherokee,11147
Grundy,11122
Appanoose,10563
Greene,10376
Mitchell,10076
Guthrie,9954
Winnebago,9618
Humboldt,9382
Davis,8987
Louisa,8944
Calhoun,8928
Montgomery,8530
Butler,8133
Franklin,8075
Lucas,8068
Harrison,7794
Palo Alto,7659
Monroe,7436
Hancock,7371
Sac,7031
Wayne,6907
Lyon,6810
Decatur,6561
Chickasaw,6427
Howard,5464
Adair,5130
Monona,5059
Taylor,4894
Ringgold,4770
Pocahontas,4400
Audubon,4398
Ida,4127
Adams,3836
Worth,3785
Fremont,3594
Keokuk,3568
Osceola,3465
Van Buren,3256
