County of Vaccine Provider,Vaccinations Completed
Polk,306788
Linn,145819
Johnson,102235
Scott,98328
Black Hawk,83361
Dubuque,68184
Story,58592
Woodbury,56730
Pottawattamie,55741
Dallas,53338
Cerro Gordo,30739
Des Moines,21813
Muscatine,21721
Clinton,21102
Webster,21022
Warren,20030
Marshall,19938
Marion,17938
Jasper,16751
Lee,16326
Bremer,15570
Wapello,15322
Sioux,14503
Buena Vista,13401
Boone,12905
Carroll,12412
Fayette,12006
Cass,11400
Plymouth,11121
Winneshiek,10699
Henry,10626
Poweshiek,10573
Tama,9856
Clay,9481
Jefferson,9413
Jackson,9281
Mahaska,9146
Washington,9028
Dickinson,8777
Benton,8766
Crawford,8748
Page,8595
Floyd,8448
Hardin,8241
Hamilton,7990
Jones,7907
Madison,7642
Buchanan,7610
Wright,7340
Cedar,7044
Clayton,7031
Kossuth,6981
Mills,6808
Iowa,6807
Shelby,6541
O'Brien,6370
Allamakee,6332
Delaware,6329
Clarke,6211
Union,6013
Grundy,5757
Cherokee,5680
Out of State,5594
Emmet,5564
Appanoose,5360
Greene,5338
Davis,5283
Louisa,5135
Mitchell,5093
Guthrie,5064
Winnebago,4982
Humboldt,4749
Calhoun,4552
Montgomery,4400
Lucas,4147
Franklin,4144
Butler,4124
Hancock,4040
Harrison,3916
Palo Alto,3868
Monroe,3847
Wayne,3551
Sac,3518
Lyon,3408
Chickasaw,3402
Decatur,3220
Howard,2825
Adair,2736
Monona,2648
Taylor,2428
Ringgold,2343
Ida,2299
Pocahontas,2271
Audubon,2243
Worth,1887
Osceola,1840
Adams,1837
Keokuk,1829
Fremont,1816
Van Buren,1703
