County of Vaccine Provider,Number of Doses
Polk,569242
Linn,269303
Johnson,195594
Scott,181620
Black Hawk,152311
Dubuque,129551
Story,108524
Pottawattamie,103644
Woodbury,101296
Dallas,97808
Cerro Gordo,56509
Des Moines,40821
Webster,38990
Clinton,38300
Warren,37450
Muscatine,35910
Marshall,33573
Jasper,30707
Marion,30378
Lee,28833
Bremer,28022
Wapello,27577
Boone,24416
Sioux,24383
Carroll,22273
Fayette,22130
Cass,21993
Buena Vista,20181
Poweshiek,19797
Winneshiek,18764
Tama,18358
Plymouth,18290
Henry,18118
Clay,17796
Jackson,17338
Jefferson,17050
Mahaska,16743
Dickinson,16649
Benton,16436
Washington,16312
Page,15642
Hamilton,15124
Crawford,14939
Floyd,14855
Madison,14717
Hardin,14509
Jones,14163
Buchanan,13953
Mills,13359
Cedar,13261
Kossuth,13111
Clayton,13083
Shelby,12445
Iowa,12442
Wright,12215
Allamakee,12131
O'Brien,11598
Union,10887
Delaware,10850
Clarke,10584
Emmet,10550
Grundy,10434
Out of State,10388
Cherokee,10366
Greene,9832
Appanoose,9691
Guthrie,9512
Mitchell,9494
Winnebago,8960
Humboldt,8945
Calhoun,8627
Davis,8622
Louisa,8258
Butler,7987
Montgomery,7833
Lucas,7688
Franklin,7643
Harrison,7385
Palo Alto,7198
Monroe,7126
Hancock,6990
Sac,6730
Wayne,6634
Lyon,6364
Decatur,6281
Chickasaw,6196
Howard,4967
Adair,4946
Monona,4747
Taylor,4710
Ringgold,4500
Audubon,4245
Pocahontas,4179
Ida,3913
Adams,3651
Worth,3607
Fremont,3448
Keokuk,3410
Osceola,3329
Van Buren,3093
