County of Vaccine Provider,Vaccinations Completed
Polk,333587
Linn,156610
Johnson,110997
Scott,105911
Black Hawk,88381
Dubuque,72600
Story,63338
Woodbury,60572
Pottawattamie,59475
Dallas,59032
Cerro Gordo,32573
Muscatine,23453
Des Moines,23163
Clinton,22447
Webster,22197
Warren,21441
Marshall,21406
Marion,18751
Jasper,17679
Lee,17204
Bremer,16482
Wapello,16178
Sioux,15136
Buena Vista,14215
Boone,13487
Carroll,13240
Fayette,12465
Cass,11848
Winneshiek,11717
Plymouth,11622
Poweshiek,11176
Henry,11151
Tama,10345
Clay,9974
Jefferson,9873
Jackson,9841
Mahaska,9684
Washington,9522
Benton,9233
Crawford,9197
Dickinson,9196
Page,9094
Floyd,8876
Hardin,8686
Jones,8458
Hamilton,8382
Buchanan,7951
Madison,7886
Wright,7708
Cedar,7377
Kossuth,7253
Clayton,7187
Iowa,7093
Mills,6991
Shelby,6802
Delaware,6767
O'Brien,6682
Allamakee,6558
Clarke,6555
Union,6399
Grundy,5992
Cherokee,5888
Emmet,5838
Out of State,5815
Appanoose,5708
Greene,5565
Davis,5551
Louisa,5434
Mitchell,5336
Guthrie,5264
Winnebago,5192
Humboldt,4967
Montgomery,4689
Calhoun,4685
Franklin,4337
Lucas,4271
Butler,4197
Hancock,4194
Harrison,4096
Palo Alto,4062
Monroe,3999
Wayne,3662
Lyon,3606
Sac,3579
Chickasaw,3575
Decatur,3335
Howard,3014
Adair,2888
Monona,2799
Taylor,2547
Ringgold,2498
Ida,2383
Pocahontas,2341
Audubon,2278
Worth,1969
Adams,1959
Keokuk,1906
Fremont,1887
Osceola,1883
Van Buren,1751
