County,Vaccinations Completed
Polk,269753
Linn,127093
Johnson,91910
Scott,77513
Black Hawk,66274
Dubuque,53384
Story,52301
Dallas,51273
Woodbury,44701
Pottawattamie,40720
Warren,25646
Cerro Gordo,22629
Muscatine,21584
Marshall,21065
Clinton,20582
Jasper,18193
Webster,17378
Des Moines,16493
Marion,14697
Boone,14468
Wapello,14404
Lee,13945
Bremer,12921
Benton,12561
Sioux,12324
Plymouth,11075
Winneshiek,10726
Carroll,10684
Washington,10589
Buena Vista,10554
Jones,10539
Buchanan,9763
Cedar,9572
Poweshiek,9215
Fayette,9165
Henry,9094
Jackson,8907
Iowa,8712
Tama,8650
Dickinson,8645
Mahaska,8074
Hardin,8040
Hamilton,7906
Delaware,7821
Jefferson,7488
Crawford,7487
Madison,7454
Butler,7296
Clayton,7223
Floyd,7188
Clay,7166
Kossuth,6804
Page,6706
Grundy,6534
Cass,6421
Mills,6382
Wright,6179
O'Brien,5995
Shelby,5789
Harrison,5738
Allamakee,5691
Chickasaw,5545
Guthrie,5408
Union,5322
Cherokee,5156
Calhoun,4927
Appanoose,4878
Louisa,4785
Winnebago,4685
Montgomery,4635
Franklin,4599
Hancock,4507
Mitchell,4459
Greene,4376
Sac,4375
Clarke,4273
Humboldt,4096
Keokuk,4026
Howard,4006
Emmet,3973
Palo Alto,3870
Monona,3858
Lyon,3625
Lucas,3330
Worth,3260
Adair,3061
Monroe,3060
Pocahontas,3017
Ida,2854
Audubon,2813
Davis,2809
Fremont,2704
Decatur,2657
Van Buren,2469
Taylor,2435
Osceola,2355
Wayne,2293
Ringgold,2172
Adams,1639
.,36
