County of Vaccine Provider,Vaccinations Completed
Polk,319034
Linn,150495
Johnson,107961
Scott,101574
Black Hawk,85613
Dubuque,70341
Story,61053
Woodbury,58320
Pottawattamie,57154
Dallas,56250
Cerro Gordo,31434
Muscatine,22421
Des Moines,22369
Webster,21523
Clinton,21504
Warren,20740
Marshall,20512
Marion,18286
Jasper,17209
Lee,16598
Bremer,15947
Wapello,15656
Sioux,14710
Buena Vista,13691
Boone,13113
Carroll,12758
Fayette,12168
Cass,11586
Plymouth,11313
Winneshiek,11182
Poweshiek,10851
Henry,10843
Tama,9927
Clay,9688
Jefferson,9598
Jackson,9452
Mahaska,9323
Washington,9222
Benton,8995
Dickinson,8923
Crawford,8883
Page,8736
Floyd,8621
Hardin,8453
Hamilton,8166
Jones,8056
Madison,7756
Buchanan,7724
Wright,7479
Cedar,7198
Clayton,7088
Kossuth,7070
Iowa,6923
Mills,6855
Shelby,6633
Delaware,6506
O'Brien,6461
Allamakee,6400
Clarke,6350
Union,6192
Grundy,5837
Cherokee,5743
Out of State,5708
Emmet,5688
Appanoose,5481
Greene,5444
Davis,5402
Louisa,5369
Mitchell,5178
Guthrie,5155
Winnebago,5057
Humboldt,4832
Calhoun,4603
Montgomery,4512
Franklin,4187
Lucas,4187
Butler,4144
Hancock,4124
Harrison,3965
Palo Alto,3925
Monroe,3914
Wayne,3594
Sac,3534
Lyon,3462
Chickasaw,3441
Decatur,3260
Howard,2851
Adair,2816
Monona,2730
Taylor,2469
Ringgold,2414
Ida,2339
Pocahontas,2299
Audubon,2250
Worth,1918
Adams,1881
Osceola,1865
Keokuk,1853
Fremont,1847
Van Buren,1721
