County of Vaccine Provider,Vaccinations Completed
Polk,330685
Linn,155408
Johnson,110353
Scott,104967
Black Hawk,87735
Dubuque,72086
Story,62869
Woodbury,59989
Pottawattamie,58870
Dallas,58494
Cerro Gordo,32321
Muscatine,23245
Des Moines,22932
Clinton,22263
Webster,22003
Warren,21263
Marshall,21165
Marion,18638
Jasper,17582
Lee,17039
Bremer,16349
Wapello,16058
Sioux,15040
Buena Vista,14090
Boone,13397
Carroll,13136
Fayette,12397
Cass,11767
Winneshiek,11596
Plymouth,11543
Poweshiek,11104
Henry,11076
Tama,10286
Clay,9918
Jefferson,9818
Jackson,9757
Mahaska,9597
Washington,9457
Benton,9161
Dickinson,9139
Crawford,9127
Page,9005
Floyd,8820
Hardin,8640
Jones,8400
Hamilton,8318
Buchanan,7895
Madison,7856
Wright,7670
Cedar,7333
Kossuth,7202
Clayton,7168
Iowa,7052
Mills,6959
Shelby,6758
Delaware,6708
O'Brien,6648
Clarke,6510
Allamakee,6507
Union,6350
Grundy,5961
Cherokee,5842
Emmet,5801
Out of State,5797
Appanoose,5661
Greene,5548
Davis,5523
Louisa,5414
Mitchell,5298
Guthrie,5237
Winnebago,5166
Humboldt,4946
Calhoun,4657
Montgomery,4642
Franklin,4312
Lucas,4251
Butler,4189
Hancock,4177
Harrison,4077
Palo Alto,4046
Monroe,3977
Wayne,3641
Lyon,3589
Sac,3570
Chickasaw,3555
Decatur,3308
Howard,2988
Adair,2866
Monona,2787
Taylor,2532
Ringgold,2480
Ida,2378
Pocahontas,2328
Audubon,2271
Worth,1967
Adams,1941
Keokuk,1902
Osceola,1879
Fremont,1879
Van Buren,1736
