County of Vaccine Provider,Vaccinations Completed
Polk,298028
Linn,142406
Johnson,100497
Scott,95313
Black Hawk,81465
Dubuque,66991
Story,57413
Woodbury,54758
Pottawattamie,54424
Dallas,52063
Cerro Gordo,29905
Des Moines,21150
Muscatine,21011
Webster,20517
Clinton,20434
Warren,19573
Marshall,19242
Marion,17582
Jasper,16413
Lee,15869
Bremer,15192
Wapello,14805
Sioux,14122
Buena Vista,12919
Boone,12706
Carroll,12009
Fayette,11746
Cass,11208
Plymouth,10890
Henry,10376
Winneshiek,10326
Poweshiek,10319
Tama,9655
Clay,9246
Jefferson,9212
Jackson,9078
Mahaska,8874
Washington,8742
Benton,8620
Dickinson,8561
Crawford,8541
Page,8324
Floyd,8274
Hardin,8083
Hamilton,7829
Jones,7751
Madison,7521
Buchanan,7438
Wright,7200
Clayton,6925
Kossuth,6874
Cedar,6871
Mills,6711
Iowa,6697
Shelby,6418
Allamakee,6218
O'Brien,6197
Delaware,6097
Clarke,6090
Union,5813
Grundy,5525
Cherokee,5508
Emmet,5372
Out of State,5355
Greene,5239
Davis,5190
Appanoose,5189
Louisa,5059
Mitchell,5004
Guthrie,4980
Winnebago,4853
Humboldt,4658
Calhoun,4480
Montgomery,4281
Butler,4085
Lucas,4073
Franklin,4056
Hancock,3967
Harrison,3836
Palo Alto,3780
Monroe,3777
Wayne,3493
Sac,3442
Lyon,3345
Chickasaw,3340
Decatur,3171
Howard,2757
Adair,2694
Monona,2582
Taylor,2387
Ringgold,2290
Ida,2240
Pocahontas,2228
Audubon,2223
Worth,1844
Osceola,1801
Keokuk,1787
Adams,1784
Fremont,1777
Van Buren,1655
