County of Vaccine Provider,Number of Doses
Polk,806214
Linn,381977
Johnson,278177
Scott,257240
Black Hawk,208508
Dubuque,178563
Story,154428
Dallas,146763
Woodbury,139368
Pottawattamie,139308
Cerro Gordo,77833
Des Moines,55909
Clinton,55136
Webster,53201
Warren,52287
Muscatine,51076
Marshall,49108
Jasper,41892
Marion,41476
Bremer,39999
Lee,39802
Wapello,37990
Sioux,32755
Boone,31912
Carroll,31896
Winneshiek,30336
Fayette,29395
Buena Vista,29155
Cass,27896
Poweshiek,27807
Washington,25622
Henry,25103
Plymouth,24600
Clay,24325
Jackson,24151
Dickinson,23271
Jefferson,23235
Tama,23226
Mahaska,22918
Page,22141
Benton,22140
Floyd,20917
Jones,20715
Crawford,20487
Hardin,20168
Hamilton,19791
Buchanan,18871
Madison,18746
Cedar,17819
Kossuth,17346
Shelby,17037
Mills,16989
Wright,16786
Clayton,16591
Iowa,16416
Delaware,16128
Allamakee,16080
O'Brien,16039
Union,15669
Grundy,14688
Cherokee,14511
Clarke,14112
Appanoose,13752
Emmet,13726
Guthrie,13433
Mitchell,13100
Winnebago,12892
Greene,12834
Out of State,11775
Humboldt,11629
Montgomery,11454
Calhoun,11161
Davis,11085
Louisa,10958
Franklin,10289
Lucas,10163
Palo Alto,9978
Butler,9934
Harrison,9769
Monroe,9349
Lyon,9156
Hancock,9086
Sac,8750
Wayne,8362
Chickasaw,8293
Decatur,8075
Howard,7564
Adair,6732
Monona,6603
Ringgold,6507
Taylor,6172
Pocahontas,5633
Ida,5092
Audubon,4993
Worth,4907
Adams,4840
Fremont,4584
Keokuk,4533
Osceola,4405
Van Buren,4224
