County of Vaccine Provider,Vaccinations Completed
Polk,324440
Linn,152686
Johnson,108957
Scott,102982
Black Hawk,86516
Dubuque,71097
Story,61905
Woodbury,58998
Pottawattamie,57925
Dallas,57306
Cerro Gordo,31782
Muscatine,22765
Des Moines,22620
Clinton,21918
Webster,21725
Warren,20975
Marshall,20761
Marion,18434
Jasper,17361
Lee,16803
Bremer,16130
Wapello,15820
Sioux,14857
Buena Vista,13843
Boone,13197
Carroll,12896
Fayette,12268
Cass,11661
Plymouth,11417
Winneshiek,11372
Poweshiek,10999
Henry,10938
Tama,9998
Clay,9799
Jefferson,9692
Jackson,9568
Mahaska,9440
Washington,9310
Benton,9036
Dickinson,9018
Crawford,8976
Page,8836
Floyd,8698
Hardin,8544
Jones,8263
Hamilton,8225
Madison,7783
Buchanan,7782
Wright,7558
Cedar,7262
Kossuth,7133
Clayton,7124
Iowa,6973
Mills,6883
Shelby,6686
Delaware,6585
O'Brien,6544
Allamakee,6449
Clarke,6410
Union,6260
Grundy,5886
Cherokee,5794
Out of State,5747
Emmet,5744
Appanoose,5547
Greene,5499
Davis,5466
Louisa,5389
Mitchell,5224
Guthrie,5189
Winnebago,5106
Humboldt,4897
Calhoun,4625
Montgomery,4561
Franklin,4242
Lucas,4216
Butler,4165
Hancock,4137
Harrison,4008
Palo Alto,3997
Monroe,3934
Wayne,3614
Sac,3557
Lyon,3528
Chickasaw,3469
Decatur,3280
Howard,2947
Adair,2840
Monona,2752
Taylor,2496
Ringgold,2445
Ida,2357
Pocahontas,2313
Audubon,2265
Worth,1945
Adams,1899
Keokuk,1876
Osceola,1869
Fremont,1863
Van Buren,1732
