County,Vaccinations Completed
Polk,298361
Linn,137455
Johnson,98868
Scott,85534
Black Hawk,72914
Dubuque,57279
Story,57200
Dallas,56898
Woodbury,49801
Pottawattamie,44787
Warren,28267
Cerro Gordo,24701
Muscatine,23772
Marshall,23512
Clinton,22501
Jasper,20281
Webster,18992
Des Moines,18373
Marion,16344
Wapello,16057
Boone,15608
Lee,15282
Bremer,14012
Benton,13711
Sioux,13534
Plymouth,12307
Buena Vista,12290
Winneshiek,11694
Carroll,11523
Washington,11479
Jones,11300
Buchanan,10652
Cedar,10317
Poweshiek,10181
Henry,10047
Fayette,10032
Jackson,9633
Tama,9513
Iowa,9488
Dickinson,9239
Mahaska,9000
Hardin,8763
Hamilton,8636
Delaware,8614
Crawford,8319
Madison,8141
Jefferson,8130
Clay,7872
Butler,7849
Floyd,7830
Clayton,7719
Page,7345
Kossuth,7247
Grundy,7073
Cass,6918
Mills,6835
Wright,6688
O'Brien,6510
Allamakee,6243
Shelby,6204
Harrison,6184
Chickasaw,6070
Union,5841
Guthrie,5808
Cherokee,5620
Appanoose,5402
Calhoun,5394
Louisa,5326
Winnebago,5066
Montgomery,5064
Franklin,5053
Hancock,4938
Mitchell,4907
Greene,4827
Sac,4821
Clarke,4725
Humboldt,4471
Emmet,4424
Keokuk,4391
Howard,4360
Palo Alto,4208
Monona,4193
Lyon,3936
Lucas,3671
Worth,3604
Adair,3358
Monroe,3319
Pocahontas,3295
Ida,3174
Davis,3054
Audubon,3012
Decatur,2930
Fremont,2862
Van Buren,2799
Taylor,2650
Wayne,2522
Osceola,2521
Ringgold,2402
Adams,1831
.,65
