County of Vaccine Provider,Vaccinations Completed
Polk,285473
Linn,137800
Johnson,98199
Scott,91439
Black Hawk,77914
Dubuque,65212
Story,55051
Pottawattamie,52518
Woodbury,52178
Dallas,49875
Cerro Gordo,28756
Des Moines,20236
Muscatine,20173
Webster,19621
Clinton,19546
Warren,18989
Marshall,18161
Marion,17000
Jasper,15866
Lee,15201
Bremer,14631
Wapello,14052
Sioux,13425
Boone,12374
Buena Vista,11742
Carroll,11567
Fayette,11407
Cass,10954
Plymouth,10482
Poweshiek,9991
Henry,9987
Winneshiek,9777
Tama,9448
Clay,8916
Jefferson,8820
Jackson,8750
Mahaska,8451
Washington,8369
Benton,8361
Dickinson,8316
Crawford,8155
Page,8019
Floyd,8012
Hardin,7848
Hamilton,7640
Jones,7498
Madison,7362
Buchanan,7114
Wright,6969
Clayton,6792
Cedar,6732
Kossuth,6714
Mills,6579
Iowa,6480
Shelby,6247
Allamakee,6028
O'Brien,5963
Clarke,5922
Delaware,5784
Union,5574
Grundy,5364
Out of State,5334
Cherokee,5296
Emmet,5231
Greene,5082
Davis,5079
Appanoose,4978
Louisa,4920
Guthrie,4871
Mitchell,4835
Winnebago,4643
Humboldt,4549
Calhoun,4369
Montgomery,4098
Butler,4058
Lucas,3981
Franklin,3920
Hancock,3864
Harrison,3738
Monroe,3690
Palo Alto,3624
Wayne,3397
Sac,3371
Chickasaw,3268
Lyon,3210
Decatur,3112
Adair,2628
Howard,2555
Monona,2454
Taylor,2344
Ringgold,2199
Ida,2190
Audubon,2172
Pocahontas,2163
Worth,1792
Osceola,1759
Keokuk,1755
Fremont,1754
Adams,1732
Van Buren,1602
