County,Vaccinations Completed
Polk,272930
Linn,128237
Johnson,92476
Scott,78509
Black Hawk,67117
Dubuque,53869
Story,52739
Dallas,51854
Woodbury,45408
Pottawattamie,41264
Warren,25911
Cerro Gordo,22966
Muscatine,21800
Marshall,21292
Clinton,20819
Jasper,18459
Webster,17563
Des Moines,16779
Marion,14866
Boone,14591
Wapello,14591
Lee,14114
Bremer,13054
Benton,12714
Sioux,12497
Plymouth,11191
Winneshiek,10790
Carroll,10770
Buena Vista,10737
Washington,10703
Jones,10630
Buchanan,9876
Cedar,9657
Poweshiek,9299
Fayette,9276
Henry,9226
Jackson,9002
Iowa,8773
Tama,8750
Dickinson,8716
Mahaska,8156
Hardin,8121
Hamilton,7998
Delaware,7908
Crawford,7599
Jefferson,7571
Madison,7536
Butler,7378
Clayton,7281
Floyd,7274
Clay,7260
Kossuth,6862
Page,6779
Grundy,6599
Cass,6469
Mills,6449
Wright,6252
O'Brien,6056
Shelby,5846
Harrison,5834
Allamakee,5751
Chickasaw,5638
Guthrie,5470
Union,5398
Cherokee,5222
Calhoun,4968
Appanoose,4952
Louisa,4848
Winnebago,4715
Montgomery,4682
Franklin,4637
Hancock,4570
Mitchell,4525
Sac,4420
Greene,4419
Clarke,4347
Humboldt,4147
Keokuk,4067
Howard,4047
Emmet,4024
Palo Alto,3898
Monona,3893
Lyon,3646
Lucas,3377
Worth,3297
Adair,3084
Monroe,3081
Pocahontas,3050
Ida,2888
Audubon,2839
Davis,2837
Fremont,2720
Decatur,2703
Van Buren,2499
Taylor,2462
Osceola,2372
Wayne,2315
Ringgold,2186
Adams,1664
.,37
