County of Vaccine Provider,Number of Doses
Polk,851397
Linn,401677
Johnson,293323
Scott,272227
Black Hawk,218342
Dubuque,186326
Story,163722
Dallas,157362
Woodbury,147280
Pottawattamie,147235
Cerro Gordo,81524
Des Moines,58530
Clinton,58047
Webster,55518
Warren,54876
Muscatine,54239
Marshall,52517
Marion,43582
Jasper,43525
Lee,42040
Bremer,41981
Wapello,39712
Sioux,34642
Carroll,33699
Boone,33255
Winneshiek,32278
Buena Vista,31170
Fayette,30532
Poweshiek,29067
Cass,28866
Washington,27026
Henry,26232
Plymouth,25907
Clay,25461
Jackson,25431
Tama,24336
Dickinson,24300
Jefferson,24233
Mahaska,24194
Benton,23422
Page,23196
Floyd,21843
Jones,21798
Crawford,21508
Hardin,21028
Hamilton,20686
Buchanan,19766
Madison,19489
Cedar,18598
Kossuth,18211
Shelby,17738
Mills,17729
Wright,17563
Clayton,17317
Iowa,17026
Delaware,16951
O'Brien,16786
Allamakee,16698
Union,16459
Grundy,15415
Cherokee,15158
Clarke,14847
Appanoose,14414
Emmet,14242
Guthrie,13968
Mitchell,13666
Winnebago,13393
Greene,13235
Montgomery,12167
Humboldt,12000
Out of State,11918
Davis,11559
Calhoun,11495
Louisa,11419
Franklin,10789
Lucas,10543
Palo Alto,10360
Harrison,10292
Butler,10207
Monroe,9669
Lyon,9584
Hancock,9390
Sac,8960
Chickasaw,8651
Wayne,8581
Decatur,8346
Howard,8005
Adair,6960
Monona,6899
Ringgold,6774
Taylor,6409
Pocahontas,5839
Ida,5349
Audubon,5197
Worth,5064
Adams,5039
Fremont,4753
Keokuk,4717
Osceola,4614
Van Buren,4317
