County of Vaccine Provider,Vaccinations Completed
Polk,330400
Linn,155260
Johnson,110301
Scott,104893
Black Hawk,87687
Dubuque,72041
Story,62823
Woodbury,59942
Pottawattamie,58820
Dallas,58428
Cerro Gordo,32290
Muscatine,23227
Des Moines,22915
Clinton,22249
Webster,21994
Warren,21241
Marshall,21131
Marion,18631
Jasper,17574
Lee,17025
Bremer,16343
Wapello,16044
Sioux,15032
Buena Vista,14086
Boone,13391
Carroll,13127
Fayette,12395
Cass,11758
Winneshiek,11591
Plymouth,11535
Poweshiek,11100
Henry,11074
Tama,10282
Clay,9907
Jefferson,9806
Jackson,9755
Mahaska,9593
Washington,9445
Benton,9161
Crawford,9125
Dickinson,9122
Page,8999
Floyd,8811
Hardin,8635
Jones,8396
Hamilton,8318
Buchanan,7886
Madison,7851
Wright,7665
Cedar,7332
Kossuth,7202
Clayton,7162
Iowa,7048
Mills,6956
Shelby,6755
Delaware,6706
O'Brien,6645
Clarke,6505
Allamakee,6504
Union,6346
Grundy,5957
Cherokee,5841
Emmet,5800
Out of State,5796
Appanoose,5660
Greene,5546
Davis,5520
Louisa,5408
Mitchell,5293
Guthrie,5237
Winnebago,5166
Humboldt,4944
Calhoun,4657
Montgomery,4641
Franklin,4293
Lucas,4251
Butler,4185
Hancock,4175
Harrison,4068
Palo Alto,4044
Monroe,3977
Wayne,3640
Lyon,3587
Sac,3570
Chickasaw,3554
Decatur,3307
Howard,2988
Adair,2866
Monona,2786
Taylor,2532
Ringgold,2480
Ida,2378
Pocahontas,2327
Audubon,2271
Worth,1967
Adams,1937
Keokuk,1902
Osceola,1878
Fremont,1876
Van Buren,1736
